Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,93.639,94.272,94.905,1.0,94.905,94.272,,1.0,,94.905,94.272,1.0,3.25,1.25,1.0,0.65471,1.0,158102.5589,1.28,,,,0.0,1.0,4.0
2.0,94.905,96.672,98.439,1.0,98.439,96.672,,1.0,,98.439,96.672,2.0,2.25,3.5,2.0,3.0547,1.0,158106.0839,4.805,,,,0.0,1.0,4.0
3.0,98.439,100.322,102.205,1.0,102.205,100.322,,0.0,,102.205,100.322,3.0,3.25,3.75,3.0,6.7048,0.0,158109.859,8.5801,,,,0.0,1.0,4.0
4.0,102.205,102.722,103.239,1.0,103.239,102.722,,0.0,,103.239,102.722,4.0,2.75,1.0,4.0,9.1047,0.0,158110.8839,9.605,,,,0.0,1.0,4.0
5.0,103.239,105.122,107.006,1.0,107.006,105.122,,0.0,,107.006,105.122,5.0,3.5,3.75,5.0,11.5047,0.0,158114.659,13.3801,,,,1.0,1.0,4.0
6.0,107.006,108.639,110.306,1.0,110.306,108.639,,1.0,,110.306,108.639,6.0,3.0,3.25,6.0,15.0214,1.0,158117.9256,16.6467,,,,0.0,1.0,4.0
7.0,110.306,111.322,112.339,1.0,112.339,111.322,,0.0,,112.339,111.322,7.0,3.0,2.0,7.0,17.7048,0.0,158119.984,18.7051,,,,0.0,1.0,4.0
8.0,112.339,113.106,113.872,1.0,113.872,113.106,,0.0,,113.872,113.106,8.0,2.75,1.5,8.0,19.4881,0.0,158121.5173,20.2384,,,,0.0,1.0,4.0
9.0,113.872,114.389,114.906,1.0,114.906,114.389,,1.0,,114.906,114.389,9.0,3.0,1.0,9.0,20.7714,1.0,158122.5506,21.2717,,,,1.0,1.0,4.0
10.0,114.906,115.422,115.939,1.0,115.939,115.422,,1.0,,115.939,115.422,10.0,1.75,1.0,10.0,21.8047,1.0,158123.584,22.3051,,,,0.0,1.0,4.0
11.0,115.939,117.572,119.206,1.0,119.206,117.572,,0.0,,119.206,117.572,11.0,1.25,3.25,11.0,23.9547,0.0,158126.859,25.58,,,,0.0,1.0,4.0
12.0,119.206,120.089,120.972,1.0,120.972,120.089,,1.0,,120.972,120.089,12.0,3.0,1.75,12.0,26.4714,1.0,158128.6256,27.3467,,,,1.0,1.0,4.0
13.0,120.972,121.489,122.006,1.0,122.006,121.489,,0.0,,122.006,121.489,13.0,3.75,1.0,13.0,27.8714,0.0,158129.6506,28.3717,,,,0.0,1.0,4.0
14.0,122.006,123.022,124.039,1.0,124.039,123.022,,1.0,,124.039,123.022,14.0,2.25,2.0,14.0,29.4047,1.0,158131.684,30.4051,,,,0.0,1.0,4.0
15.0,124.039,125.672,127.306,1.0,127.306,125.672,,1.0,,127.306,125.672,15.0,3.25,3.25,15.0,32.0547,1.0,158134.959,33.6801,,,,1.0,1.0,4.0
16.0,127.306,128.439,129.573,1.0,129.573,128.439,,1.0,,129.573,128.439,16.0,1.5,2.25,16.0,34.8214,1.0,158137.2256,35.9467,,,,0.0,1.0,4.0
17.0,129.573,130.956,132.339,1.0,132.339,130.956,,0.0,,132.339,130.956,17.0,2.25,2.75,17.0,37.3381,0.0,158139.9923,38.7134,,,,0.0,1.0,4.0
18.0,132.339,133.973,135.606,1.0,135.606,133.973,,0.0,,135.606,133.973,18.0,3.0,3.25,18.0,40.3547,0.0,158143.2589,41.98,,,,0.0,1.0,4.0
19.0,135.606,137.123,138.639,1.0,138.639,137.123,,1.0,,138.639,137.123,19.0,1.75,3.0,19.0,43.5047,1.0,158146.2839,45.005,,,,1.0,1.0,4.0
