Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,107.05,112.583,113.084,1.0,107.05,111.066,,0.0,,107.05,113.084,1.0,3.25,1.25,1.0,1.5164,0.0,158663.2508,6.0441,4.54e-05,4.0271,-1.0,,1.0,3.0
2.0,114.366,119.9,120.4,1.0,114.366,118.383,,1.0,,114.366,120.4,2.0,2.25,3.5,2.0,1.5162,1.0,158670.5674,13.3607,7.3107,11.344,-1.0,,1.0,3.0
3.0,123.933,129.467,129.967,1.0,123.933,127.95,,1.0,,123.933,129.967,3.0,3.25,3.75,3.0,1.5164,1.0,158680.1342,22.9274,16.8772,20.9104,-1.0,,1.0,3.0
4.0,133.75,139.283,139.784,1.0,133.75,137.767,,1.0,,133.75,139.784,4.0,2.75,1.0,4.0,1.5162,1.0,158689.9507,32.744,26.6941,30.7273,-1.0,,1.0,3.0
5.0,140.817,146.351,146.853,1.0,140.817,144.834,,0.0,,140.817,146.853,5.0,3.5,3.75,5.0,1.5158,0.0,158697.0188,39.8122,33.7606,37.7941,-1.0,,1.0,3.0
6.0,150.633,156.167,156.667,1.0,150.633,154.65,,1.0,,150.633,156.667,6.0,3.0,3.25,6.0,1.5165,1.0,158706.8339,49.6271,43.5779,47.6104,-1.0,,1.0,3.0
7.0,159.95,165.484,165.984,1.0,159.95,163.967,,1.0,,159.95,165.984,7.0,3.0,2.0,7.0,1.5165,1.0,158716.1505,58.9438,52.8937,56.927,-1.0,,1.0,3.0
8.0,168.017,173.55,174.051,1.0,168.017,172.034,,1.0,,168.017,174.051,8.0,2.75,1.5,8.0,1.5163,1.0,158724.2172,67.0105,60.9604,64.9939,-1.0,,1.0,3.0
9.0,175.584,181.117,181.618,1.0,175.584,179.601,,0.0,,175.584,181.618,9.0,3.0,1.0,9.0,1.5164,0.0,158731.7839,74.5772,68.527,72.5604,-1.0,,1.0,3.0
10.0,182.651,188.184,188.684,1.0,182.651,186.668,,0.0,,182.651,188.684,10.0,1.75,1.0,10.0,1.5163,0.0,158738.8506,81.6438,75.5937,79.6273,-1.0,,1.0,3.0
11.0,189.717,195.251,195.751,1.0,189.717,193.734,,0.0,,189.717,195.751,11.0,1.25,3.25,11.0,1.5165,0.0,158745.9172,88.7105,82.6604,86.6937,-1.0,,1.0,3.0
12.0,199.034,204.568,205.068,1.0,199.034,203.051,,0.0,,199.034,205.068,12.0,3.0,1.75,12.0,1.5163,0.0,158755.2339,98.0271,91.9771,96.0106,-1.0,,1.0,3.0
13.0,206.851,212.384,212.885,1.0,206.851,210.868,,1.0,,206.851,212.885,13.0,3.75,1.0,13.0,1.5165,1.0,158763.0506,105.8438,99.7937,103.827,-1.0,,1.0,3.0
14.0,213.918,219.451,219.951,1.0,213.918,217.935,,1.0,,213.918,219.951,14.0,2.25,2.0,14.0,1.5163,1.0,158770.1172,112.9105,106.8604,110.8939,-1.0,,1.0,3.0
15.0,221.984,227.518,228.018,1.0,221.984,226.001,,0.0,,221.984,228.018,15.0,3.25,3.25,15.0,1.5165,0.0,158778.1839,120.9771,114.927,118.9603,-1.0,,1.0,3.0
16.0,231.301,236.835,237.335,1.0,231.301,235.318,,1.0,,231.301,237.335,16.0,1.5,2.25,16.0,1.5163,1.0,158787.5006,130.2938,124.2437,128.2773,-1.0,,1.0,3.0
17.0,239.618,245.151,245.652,1.0,239.618,243.635,,0.0,,239.618,245.652,17.0,2.25,2.75,17.0,1.5165,0.0,158795.8172,138.6104,132.5604,136.5937,-1.0,,1.0,3.0
18.0,248.435,253.968,254.469,1.0,248.435,252.452,,1.0,,248.435,254.469,18.0,3.0,3.25,18.0,1.5165,1.0,158804.6339,147.4271,141.377,145.4104,-1.0,,1.0,3.0
19.0,257.752,263.285,263.785,1.0,257.752,261.768,,0.0,,257.752,263.785,19.0,1.75,3.0,19.0,1.5165,0.0,158813.9506,156.7438,150.6937,154.727,-1.0,,1.0,3.0
20.0,266.818,272.352,272.852,1.0,266.818,270.835,,0.0,,266.818,272.852,20.0,2.75,1.25,20.0,1.5162,0.0,158823.0172,165.8104,159.7604,163.7939,-1.0,,1.0,3.0
21.0,274.135,279.669,280.169,1.0,274.135,278.152,,0.0,,274.135,280.169,21.0,1.25,2.25,21.0,1.5165,0.0,158830.3339,173.1271,167.077,171.1103,-1.0,,1.0,3.0
22.0,282.452,287.985,288.486,1.0,282.452,286.469,,1.0,,282.452,288.486,22.0,3.75,2.0,22.0,1.5162,1.0,158838.6506,181.4438,175.3937,179.4273,-1.0,,1.0,3.0
23.0,290.519,296.052,296.552,1.0,290.519,294.535,,0.0,,290.519,296.552,23.0,2.75,1.5,23.0,1.5165,0.0,158846.7172,189.5104,183.4604,187.4937,-1.0,,1.0,3.0
24.0,298.085,303.619,304.119,1.0,298.085,302.102,,1.0,,298.085,304.119,24.0,3.25,1.75,24.0,1.5165,1.0,158854.2839,197.0771,191.0273,195.0603,-1.0,,1.0,3.0
25.0,305.902,311.436,311.936,1.0,305.902,309.919,,1.0,,305.902,311.936,25.0,2.5,3.0,25.0,1.5165,1.0,158862.1005,204.8938,198.8437,202.877,-1.0,,1.0,3.0
26.0,314.969,320.502,321.003,1.0,314.969,318.986,,0.0,,314.969,321.003,26.0,3.5,3.75,26.0,1.5163,0.0,158871.1672,213.9604,207.9104,211.9439,-1.0,,1.0,3.0
