Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,Noname,ColorLev,TimeTrial,BlockNumber,noname,noname,noname,noname,noname,TrialTypeDesignation
104.0,3703.282,3703.289,0.0,0.0,0.0,100.0,,,1.0,,4.0,2.75,1.0,4.0,,,1.0,,2.0,,,,,,2.0
105.0,3704.092,3704.096,0.0,0.0,0.0,100.0,,,1.0,,5.0,3.5,3.75,5.0,,,1.0,,2.0,,,,,,2.0
106.0,3704.897,3704.9,0.0,0.0,0.0,100.0,,,1.0,,6.0,3.0,3.25,6.0,,,1.0,,2.0,,,,,,2.0
107.0,3705.701,3705.705,0.0,0.0,0.0,100.0,,,1.0,,7.0,3.0,2.0,7.0,,,1.0,,2.0,,,,,,2.0
108.0,3706.506,3706.509,0.0,0.0,0.0,100.0,,,1.0,,8.0,2.75,1.5,8.0,,,1.0,,2.0,,,,,,2.0
109.0,3707.311,3707.314,0.0,0.0,0.0,100.0,,,1.0,,9.0,3.0,1.0,9.0,,,1.0,,2.0,,,,,,2.0
110.0,3708.115,3708.119,0.0,0.0,0.0,100.0,,,1.0,,10.0,1.75,1.0,10.0,,,1.0,,2.0,,,,,,2.0
111.0,3708.92,3708.923,0.0,0.0,0.0,100.0,,,1.0,,11.0,1.25,3.25,11.0,,,1.0,,2.0,,,,,,2.0
112.0,3709.725,3709.728,0.0,0.0,0.0,100.0,,,1.0,,12.0,3.0,1.75,12.0,,,1.0,,2.0,,,,,,2.0
113.0,3710.529,3710.532,0.0,0.0,0.0,100.0,,,1.0,,13.0,3.75,1.0,13.0,,,1.0,,2.0,,,,,,2.0
114.0,3711.333,3711.337,0.0,0.0,0.0,100.0,,,1.0,,14.0,2.25,2.0,14.0,,,1.0,,2.0,,,,,,2.0
115.0,3712.138,3712.141,0.0,0.0,0.0,100.0,,,1.0,,15.0,3.25,3.25,15.0,,,1.0,,2.0,,,,,,2.0
116.0,3712.942,3712.945,0.0,0.0,0.0,100.0,,,1.0,,16.0,1.5,2.25,16.0,,,1.0,,2.0,,,,,,2.0
117.0,3713.746,3713.75,0.0,0.0,0.0,100.0,,,1.0,,17.0,2.25,2.75,17.0,,,1.0,,2.0,,,,,,2.0
118.0,3714.551,3714.554,0.0,0.0,0.0,100.0,,,1.0,,18.0,3.0,3.25,18.0,,,1.0,,2.0,,,,,,2.0
119.0,3715.355,3715.358,0.0,0.0,0.0,100.0,,,1.0,,19.0,1.75,3.0,19.0,,,1.0,,2.0,,,,,,2.0
120.0,3716.16,3716.164,0.0,0.0,0.0,100.0,,,1.0,,20.0,2.75,1.25,20.0,,,1.0,,2.0,,,,,,2.0
121.0,3716.965,3716.97,0.0,0.0,0.0,100.0,,,1.0,,21.0,1.25,2.25,21.0,,,1.0,,2.0,,,,,,2.0
122.0,3717.771,3717.774,0.0,0.0,0.0,100.0,,,1.0,,22.0,3.75,2.0,22.0,,,1.0,,2.0,,,,,,2.0
123.0,3718.575,3718.579,0.0,0.0,0.0,100.0,,,1.0,,23.0,2.75,1.5,23.0,,,1.0,,2.0,,,,,,2.0
124.0,3719.38,3719.384,0.0,0.0,0.0,100.0,,,1.0,,24.0,3.25,1.75,24.0,,,1.0,,2.0,,,,,,2.0
125.0,3720.185,3720.188,0.0,0.0,0.0,100.0,,,1.0,,25.0,2.5,3.0,25.0,,,1.0,,2.0,,,,,,2.0
126.0,3720.989,3720.993,0.0,0.0,0.0,100.0,,,1.0,,26.0,3.5,3.75,26.0,,,1.0,,2.0,,,,,,2.0
127.0,3721.794,3721.797,0.0,0.0,0.0,100.0,,,1.0,,27.0,2.5,1.25,27.0,,,1.0,,2.0,,,,,,2.0
128.0,3722.598,3722.601,0.0,0.0,0.0,100.0,,,1.0,,28.0,1.25,1.75,28.0,,,1.0,,2.0,,,,,,2.0
129.0,3723.402,3723.406,0.0,0.0,0.0,100.0,,,1.0,,29.0,3.5,1.75,29.0,,,1.0,,2.0,,,,,,2.0
130.0,3724.207,3724.21,0.0,0.0,0.0,100.0,,,1.0,,30.0,3.25,1.5,30.0,,,1.0,,2.0,,,,,,2.0
131.0,3725.011,3725.015,0.0,0.0,0.0,100.0,,,1.0,,31.0,3.75,2.0,31.0,,,1.0,,2.0,,,,,,2.0
132.0,3725.816,3725.82,0.0,0.0,0.0,100.0,,,1.0,,32.0,1.5,1.75,32.0,,,1.0,,2.0,,,,,,2.0
133.0,3726.622,3726.625,0.0,0.0,0.0,100.0,,,1.0,,33.0,2.75,2.25,33.0,,,1.0,,2.0,,,,,,2.0
134.0,3727.426,3727.432,0.0,0.0,0.0,100.0,,,1.0,,34.0,2.0,3.25,34.0,,,1.0,,2.0,,,,,,2.0
135.0,3728.232,3728.236,0.0,0.0,0.0,100.0,,,1.0,,35.0,2.75,2.5,35.0,,,1.0,,2.0,,,,,,2.0
136.0,3729.038,3729.042,0.0,0.0,0.0,100.0,,,1.0,,36.0,3.75,1.75,36.0,,,1.0,,2.0,,,,,,2.0
137.0,3729.843,3729.848,0.0,0.0,0.0,100.0,,,1.0,,37.0,3.25,3.25,37.0,,,1.0,,2.0,,,,,,2.0
138.0,3730.649,3730.653,0.0,0.0,0.0,100.0,,,1.0,,38.0,2.0,2.5,38.0,,,1.0,,2.0,,,,,,2.0
139.0,3731.454,3731.457,0.0,0.0,0.0,100.0,,,1.0,,39.0,1.0,1.0,39.0,,,1.0,,2.0,,,,,,2.0
140.0,3732.259,3732.262,0.0,0.0,0.0,100.0,,,1.0,,40.0,2.5,3.25,40.0,,,1.0,,2.0,,,,,,2.0
141.0,3733.063,3733.068,0.0,0.0,0.0,100.0,,,1.0,,41.0,3.75,1.25,41.0,,,1.0,,2.0,,,,,,2.0
142.0,3733.87,3733.874,0.0,0.0,0.0,100.0,,,1.0,,42.0,2.5,2.25,42.0,,,1.0,,2.0,,,,,,2.0
143.0,3734.675,3734.679,0.0,0.0,0.0,100.0,,,1.0,,43.0,1.0,2.0,43.0,,,1.0,,2.0,,,,,,2.0
144.0,3735.48,3735.484,0.0,0.0,0.0,100.0,,,1.0,,44.0,1.25,3.25,44.0,,,1.0,,2.0,,,,,,2.0
145.0,3736.285,3736.288,0.0,0.0,0.0,100.0,,,1.0,,45.0,1.75,2.5,45.0,,,1.0,,2.0,,,,,,2.0
146.0,3737.09,3737.094,0.0,0.0,0.0,100.0,,,1.0,,46.0,1.25,2.75,46.0,,,1.0,,2.0,,,,,,2.0
147.0,3737.895,3737.898,0.0,0.0,0.0,100.0,,,1.0,,47.0,1.75,2.75,47.0,,,1.0,,2.0,,,,,,2.0
148.0,3738.7,3738.703,0.0,0.0,0.0,100.0,,,1.0,,48.0,3.0,3.0,48.0,,,1.0,,2.0,,,,,,2.0
149.0,3739.505,3739.508,0.0,0.0,0.0,100.0,,,1.0,,49.0,2.25,1.25,49.0,,,1.0,,2.0,,,,,,2.0
150.0,3740.309,3740.313,0.0,0.0,0.0,100.0,,,1.0,,50.0,1.5,3.5,50.0,,,1.0,,2.0,,,,,,2.0
151.0,3741.114,3741.117,0.0,0.0,0.0,100.0,,,1.0,,51.0,1.25,3.25,51.0,,,1.0,,2.0,,,,,,2.0
152.0,3741.918,3741.922,0.0,0.0,0.0,100.0,,,1.0,,52.0,2.5,3.75,52.0,,,1.0,,2.0,,,,,,2.0
153.0,3742.724,3742.727,0.0,0.0,0.0,100.0,,,1.0,,53.0,1.0,2.25,53.0,,,1.0,,2.0,,,,,,2.0
154.0,3743.528,3743.531,0.0,0.0,0.0,100.0,,,1.0,,54.0,1.25,3.75,54.0,,,1.0,,2.0,,,,,,2.0
155.0,3744.332,3744.336,0.0,0.0,0.0,100.0,,,1.0,,55.0,1.0,3.25,55.0,,,1.0,,2.0,,,,,,2.0
156.0,3745.137,3745.14,0.0,0.0,0.0,100.0,,,1.0,,56.0,3.25,3.5,56.0,,,1.0,,2.0,,,,,,2.0
157.0,3745.941,3745.944,0.0,0.0,0.0,100.0,,,1.0,,57.0,1.25,2.0,57.0,,,1.0,,2.0,,,,,,2.0
158.0,3746.745,3746.749,0.0,0.0,0.0,100.0,,,1.0,,58.0,1.75,3.25,58.0,,,1.0,,2.0,,,,,,2.0
159.0,3747.55,3747.554,0.0,0.0,0.0,100.0,,,1.0,,59.0,2.25,3.5,59.0,,,1.0,,2.0,,,,,,2.0
160.0,3748.355,3748.358,0.0,0.0,0.0,100.0,,,1.0,,60.0,1.5,1.75,60.0,,,1.0,,2.0,,,,,,2.0
161.0,3749.16,3749.164,0.0,0.0,0.0,100.0,,,1.0,,61.0,1.25,1.25,61.0,,,1.0,,2.0,,,,,,2.0
162.0,3749.965,3749.968,0.0,0.0,0.0,100.0,,,1.0,,62.0,3.5,2.5,62.0,,,1.0,,2.0,,,,,,2.0
163.0,3750.77,3750.773,0.0,0.0,0.0,100.0,,,1.0,,63.0,2.5,1.25,63.0,,,1.0,,2.0,,,,,,2.0
164.0,3751.574,3751.577,0.0,0.0,0.0,100.0,,,1.0,,64.0,3.5,2.75,64.0,,,1.0,,2.0,,,,,,2.0
165.0,3752.378,3752.382,0.0,0.0,0.0,100.0,,,1.0,,65.0,2.0,2.5,65.0,,,1.0,,2.0,,,,,,2.0
166.0,3753.183,3753.187,0.0,0.0,0.0,100.0,,,1.0,,66.0,2.0,1.0,66.0,,,1.0,,2.0,,,,,,2.0
167.0,3753.988,3753.991,0.0,0.0,0.0,100.0,,,1.0,,67.0,1.5,1.25,67.0,,,1.0,,2.0,,,,,,2.0
168.0,3754.792,3754.796,0.0,0.0,0.0,100.0,,,1.0,,68.0,1.5,1.5,68.0,,,1.0,,2.0,,,,,,2.0
169.0,3755.597,3755.601,0.0,0.0,0.0,100.0,,,1.0,,69.0,2.25,1.0,69.0,,,1.0,,2.0,,,,,,2.0
170.0,3756.402,3756.405,0.0,0.0,0.0,100.0,,,1.0,,70.0,3.5,3.75,70.0,,,1.0,,2.0,,,,,,2.0
171.0,3757.206,3757.21,0.0,0.0,0.0,100.0,,,1.0,,71.0,2.25,2.25,71.0,,,1.0,,2.0,,,,,,2.0
172.0,3758.011,3758.014,0.0,0.0,0.0,100.0,,,1.0,,72.0,2.0,3.5,72.0,,,1.0,,2.0,,,,,,2.0
173.0,3758.815,3758.819,0.0,0.0,0.0,100.0,,,1.0,,73.0,2.0,1.25,73.0,,,1.0,,2.0,,,,,,2.0
174.0,3759.62,3759.624,0.0,0.0,0.0,100.0,,,1.0,,74.0,3.25,2.0,74.0,,,1.0,,2.0,,,,,,2.0
175.0,3760.425,3760.428,0.0,0.0,0.0,100.0,,,1.0,,75.0,1.5,2.0,75.0,,,1.0,,2.0,,,,,,2.0
176.0,3761.229,3761.232,0.0,0.0,0.0,100.0,,,1.0,,76.0,1.25,1.25,76.0,,,1.0,,2.0,,,,,,2.0
177.0,3762.033,3762.037,0.0,0.0,0.0,100.0,,,1.0,,77.0,3.75,3.75,77.0,,,1.0,,2.0,,,,,,2.0
178.0,3762.838,3762.841,0.0,0.0,0.0,100.0,,,1.0,,78.0,2.5,1.0,78.0,,,1.0,,2.0,,,,,,2.0
179.0,3763.642,3763.645,0.0,0.0,0.0,100.0,,,1.0,,79.0,1.5,2.0,79.0,,,1.0,,2.0,,,,,,2.0
180.0,3764.446,3764.45,0.0,0.0,0.0,100.0,,,1.0,,80.0,3.25,1.0,80.0,,,1.0,,2.0,,,,,,2.0
181.0,3765.251,3765.256,0.0,0.0,0.0,100.0,,,1.0,,81.0,1.0,1.5,81.0,,,1.0,,2.0,,,,,,2.0
182.0,3766.057,3766.06,0.0,0.0,0.0,100.0,,,1.0,,82.0,2.75,3.0,82.0,,,1.0,,2.0,,,,,,2.0
183.0,3766.861,3766.864,0.0,0.0,0.0,100.0,,,1.0,,83.0,2.75,2.25,83.0,,,1.0,,2.0,,,,,,2.0
