Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,19.174,19.19,,1.0,19.174,19.19,,1.0,,19.174,19.19,1.0,3.25,1.25,1.0,0.0083685,0.0,134930.8762,0.80932,,,,,1.0,2.0
2.0,19.991,20.007,19.991,1.0,19.991,20.007,,1.0,,19.991,20.007,2.0,2.25,3.5,2.0,0.82512,0.0,134931.6927,1.6258,,,,,1.0,2.0
3.0,20.807,20.824,20.807,1.0,20.807,20.824,,1.0,,20.807,20.824,3.0,3.25,3.75,3.0,1.6417,0.0,134932.5095,2.4425,,,,,1.0,2.0
4.0,21.624,21.641,21.624,1.0,21.624,21.641,,1.0,,21.624,21.641,4.0,2.75,1.0,4.0,2.4584,1.0,134933.3259,3.259,,,,,1.0,2.0
5.0,22.441,22.457,22.441,1.0,22.441,22.457,,1.0,,22.441,22.457,5.0,3.5,3.75,5.0,3.2752,0.0,134934.1442,4.0774,,,,,1.0,2.0
6.0,23.257,23.274,23.257,1.0,23.257,23.274,,1.0,,23.257,23.274,6.0,3.0,3.25,6.0,4.0918,1.0,134934.959,4.8921,,,,,1.0,2.0
7.0,24.074,24.09,24.074,1.0,24.074,24.09,,1.0,,24.074,24.09,7.0,3.0,2.0,7.0,4.9085,1.0,134935.7757,5.7088,,,,,1.0,2.0
8.0,24.89,24.907,24.89,1.0,24.89,24.907,,1.0,,24.89,24.907,8.0,2.75,1.5,8.0,5.7251,1.0,134936.5924,6.5254,,,,,1.0,2.0
9.0,25.707,25.724,25.707,1.0,25.707,25.724,,1.0,,25.707,25.724,9.0,3.0,1.0,9.0,6.5418,0.0,134937.4091,7.3421,,,,,1.0,2.0
10.0,26.524,26.54,26.524,1.0,26.524,26.54,,1.0,,26.524,26.54,10.0,1.75,1.0,10.0,7.3585,1.0,134938.2258,8.1588,,,,,1.0,2.0
11.0,27.341,27.357,27.341,1.0,27.341,27.357,,1.0,,27.341,27.357,11.0,1.25,3.25,11.0,8.1752,0.0,134939.0424,8.9755,,,,,1.0,2.0
12.0,28.157,28.174,28.157,1.0,28.157,28.174,,1.0,,28.157,28.174,12.0,3.0,1.75,12.0,8.9919,1.0,134939.8591,9.7922,,,,,1.0,2.0
13.0,28.974,28.99,28.974,1.0,28.974,28.99,,1.0,,28.974,28.99,13.0,3.75,1.0,13.0,9.8085,0.0,134940.6758,10.6089,,,,,1.0,2.0
14.0,29.791,29.807,29.791,1.0,29.791,29.807,,1.0,,29.791,29.807,14.0,2.25,2.0,14.0,10.6252,0.0,134941.4925,11.4255,,,,,1.0,2.0
15.0,30.607,30.624,30.607,1.0,30.607,30.624,,1.0,,30.607,30.624,15.0,3.25,3.25,15.0,11.4419,0.0,134942.3092,12.2423,,,,,1.0,2.0
16.0,31.424,31.44,31.424,1.0,31.424,31.44,,1.0,,31.424,31.44,16.0,1.5,2.25,16.0,12.2586,0.0,134943.1259,13.059,,,,,1.0,2.0
17.0,32.241,32.257,32.241,1.0,32.241,32.257,,1.0,,32.241,32.257,17.0,2.25,2.75,17.0,13.0753,0.0,134943.9425,13.8756,,,,,1.0,2.0
18.0,33.057,33.074,33.057,1.0,33.057,33.074,,1.0,,33.057,33.074,18.0,3.0,3.25,18.0,13.8919,0.0,134944.7592,14.6922,,,,,1.0,2.0
19.0,33.874,33.891,33.874,1.0,33.874,33.891,,1.0,,33.874,33.891,19.0,1.75,3.0,19.0,14.7086,1.0,134945.5759,15.5089,,,,,1.0,2.0
20.0,34.691,34.707,34.691,1.0,34.691,34.707,,1.0,,34.691,34.707,20.0,2.75,1.25,20.0,15.5253,0.0,134946.3926,16.3256,,,,,1.0,2.0
21.0,35.507,35.524,35.507,1.0,35.507,35.524,,1.0,,35.507,35.524,21.0,1.25,2.25,21.0,16.342,0.0,134947.2092,17.1423,,,,,1.0,2.0
22.0,36.324,36.341,36.324,1.0,36.324,36.341,,1.0,,36.324,36.341,22.0,3.75,2.0,22.0,17.1587,1.0,134948.0259,17.959,,,,,1.0,2.0
