Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,Noname,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,noname1,noname2,noname3,BlockNumber,TrialTypeDesignation
1.0,275.543,276.059,,1.0,275.543,276.059,,0.0,,275.543,,1.0,3.25,1.25,1.0,0.55725,0.0,229671.6795,1.1839,,,,1.0,
2.0,276.693,277.209,276.693,1.0,276.693,277.209,,1.0,,,563.606,2.0,2.25,3.5,2.0,1.7076,1.0,229673.9543,3.4587,,,,1.0,
3.0,575.618,576.126,,1.0,575.618,576.126,,0.0,,575.618,,1.0,3.25,1.25,1.0,0.52837,0.0,229971.7449,1.1552,,,,2.0,1.0
4.0,576.757,577.263,576.757,1.0,576.757,577.263,,0.0,,,,2.0,2.25,3.5,2.0,1.6658,0.0,229974.0068,3.4172,,,,2.0,1.0
5.0,579.022,579.529,579.022,1.0,579.022,579.529,,1.0,,,,3.0,3.25,3.75,3.0,3.9317,1.0,229976.3976,5.8079,,,,2.0,1.0
6.0,581.41,581.916,581.41,1.0,581.41,581.916,,0.0,,,,4.0,2.75,1.0,4.0,6.3188,0.0,229977.4096,6.82,,,,2.0,1.0
7.0,582.433,582.941,582.433,1.0,582.433,582.941,,1.0,,,,5.0,3.5,3.75,5.0,7.3429,1.0,229979.8104,9.2209,,,,2.0,1.0
8.0,584.823,585.329,584.823,1.0,584.823,585.329,,0.0,,,,6.0,3.0,3.25,6.0,9.7319,0.0,229981.9477,11.358,,,,2.0,1.0
9.0,586.96,587.465,586.96,1.0,586.96,587.465,,1.0,,,,7.0,3.0,2.0,7.0,11.8676,1.0,229983.4582,12.8685,,,,2.0,1.0
10.0,588.472,588.977,588.472,1.0,588.472,588.977,,1.0,,,,8.0,2.75,1.5,8.0,13.3798,1.0,229984.7204,14.1307,,,,2.0,1.0
11.0,589.733,590.237,589.733,1.0,589.733,590.237,,1.0,,,,9.0,3.0,1.0,9.0,14.6402,1.0,229985.7308,15.1411,,,,2.0,1.0
12.0,590.743,591.248,590.743,1.0,590.743,591.248,,1.0,,,,10.0,1.75,1.0,10.0,15.6505,1.0,229986.7411,16.1514,,,,2.0,1.0
13.0,591.753,592.258,591.753,1.0,591.753,592.258,,1.0,,,,11.0,1.25,3.25,11.0,16.6604,1.0,229988.8761,18.2864,,,,2.0,1.0
14.0,593.889,594.393,593.889,1.0,593.889,594.393,,0.0,,,,12.0,3.0,1.75,12.0,18.7955,0.0,229990.2611,19.6714,,,,2.0,1.0
15.0,595.273,595.778,595.273,1.0,595.273,595.778,,0.0,,,,13.0,3.75,1.0,13.0,20.1811,0.0,229991.2717,20.682,,,,2.0,1.0
16.0,596.284,596.788,596.284,1.0,596.284,596.788,,0.0,,,,14.0,2.25,2.0,14.0,21.1906,0.0,229992.7811,22.1915,,,,2.0,1.0
17.0,597.795,598.301,597.795,1.0,597.795,598.301,,0.0,,,,15.0,3.25,3.25,15.0,22.7035,0.0,229994.919,24.3293,,,,2.0,1.0
18.0,599.931,600.436,599.931,1.0,599.931,600.436,,0.0,,,,16.0,1.5,2.25,16.0,24.8385,0.0,229996.5541,25.9644,,,,2.0,1.0
19.0,601.566,602.071,601.566,1.0,601.566,602.071,,0.0,,,,17.0,2.25,2.75,17.0,26.4735,0.0,229998.4391,27.8494,,,,2.0,1.0
20.0,603.451,603.956,603.452,1.0,603.452,603.956,,1.0,,,,18.0,3.0,3.25,18.0,28.359,1.0,230000.5747,29.985,,,,2.0,1.0
21.0,605.586,606.091,605.586,1.0,605.586,606.091,,0.0,,,,19.0,1.75,3.0,19.0,30.494,0.0,230002.5847,31.995,,,,2.0,1.0
22.0,607.596,608.101,607.596,1.0,607.596,608.101,,1.0,,,,20.0,2.75,1.25,20.0,32.5039,1.0,230003.7194,33.1297,,,,2.0,1.0
23.0,608.731,609.235,608.731,1.0,608.731,609.235,,1.0,,,,21.0,1.25,2.25,21.0,33.6375,1.0,230005.3532,34.7634,,,,2.0,1.0
24.0,610.365,610.869,610.365,1.0,610.365,610.869,,0.0,,,,22.0,3.75,2.0,22.0,35.2715,0.0,230006.8621,36.2724,,,,2.0,1.0
25.0,611.874,612.379,611.874,1.0,611.874,612.379,,0.0,,,,23.0,2.75,1.5,23.0,36.7816,0.0,230008.122,37.5323,,,,2.0,1.0
26.0,613.133,613.637,613.133,1.0,613.133,613.637,,0.0,,,,24.0,3.25,1.75,24.0,38.0401,0.0,230009.5054,38.9157,,,,2.0,1.0
27.0,614.516,615.021,614.517,1.0,614.517,615.021,,1.0,,,,25.0,2.5,3.0,25.0,39.4236,1.0,230011.5144,40.9246,,,,2.0,1.0
28.0,616.527,617.031,616.527,1.0,616.527,617.031,,0.0,,,,26.0,3.5,3.75,26.0,41.4335,0.0,230013.8992,43.3094,,,,2.0,1.0
29.0,618.911,619.416,618.911,1.0,618.911,619.416,,0.0,,,,27.0,2.5,1.25,27.0,43.8188,0.0,230015.0344,44.4447,,,,2.0,1.0
30.0,620.047,620.551,620.047,1.0,620.047,620.551,,1.0,,,,28.0,1.25,1.75,28.0,44.9538,1.0,230016.4195,45.8297,,,,2.0,1.0
31.0,621.431,621.937,621.431,1.0,621.431,621.937,,1.0,,,,29.0,3.5,1.75,29.0,46.3396,1.0,230017.8053,47.2155,,,,2.0,1.0
32.0,622.817,623.321,622.817,1.0,622.817,623.321,,0.0,,,,30.0,3.25,1.5,30.0,47.7238,0.0,230019.0644,48.4746,,,,2.0,1.0
33.0,624.076,624.58,624.076,1.0,624.076,624.58,,1.0,,,,31.0,3.75,2.0,31.0,48.983,1.0,230020.5736,49.9839,,,,2.0,1.0
34.0,625.585,626.09,625.586,1.0,625.586,626.09,,1.0,,,,32.0,1.5,1.75,32.0,50.493,1.0,230021.9585,51.3688,,,,2.0,1.0
35.0,626.971,627.476,626.971,1.0,626.971,627.476,,1.0,,,,33.0,2.75,2.25,33.0,51.8789,1.0,230023.5942,53.0044,,,,2.0,1.0
36.0,628.606,629.11,628.606,1.0,628.606,629.11,,0.0,,,,34.0,2.0,3.25,34.0,53.5126,0.0,230025.7281,55.1384,,,,2.0,1.0
37.0,630.742,631.247,630.742,1.0,630.742,631.247,,0.0,,,,35.0,2.75,2.5,35.0,55.6497,0.0,230027.4903,56.9006,,,,2.0,1.0
38.0,632.502,633.007,632.502,1.0,632.502,633.007,,0.0,,,,36.0,3.75,1.75,36.0,57.4094,0.0,230028.875,58.2852,,,,2.0,1.0
39.0,633.887,634.392,633.887,1.0,633.887,634.392,,0.0,,,,37.0,3.25,3.25,37.0,58.7949,0.0,230031.0104,60.4207,,,,2.0,1.0
40.0,636.022,636.527,636.022,1.0,636.022,636.527,,1.0,,,,38.0,2.0,2.5,38.0,60.9299,1.0,230032.7704,62.1806,,,,2.0,1.0
41.0,637.783,638.287,637.783,1.0,637.783,638.287,,0.0,,,,39.0,1.0,1.0,39.0,62.6901,0.0,230033.7806,63.1909,,,,2.0,1.0
42.0,638.794,639.299,638.794,1.0,638.794,639.299,,0.0,,,,40.0,2.5,3.25,40.0,63.7018,0.0,230035.9172,65.3274,,,,2.0,1.0
43.0,640.928,641.434,640.928,1.0,640.928,641.434,,0.0,,,,41.0,3.75,1.25,41.0,65.8363,0.0,230037.0518,66.4621,,,,2.0,1.0
44.0,642.063,642.567,642.063,1.0,642.063,642.567,,1.0,,,,42.0,2.5,2.25,42.0,66.9701,1.0,230038.6856,68.0959,,,,2.0,1.0
45.0,643.698,644.203,643.698,1.0,643.698,644.203,,0.0,,,,43.0,1.0,2.0,43.0,68.6055,0.0,230040.196,69.6063,,,,2.0,1.0
46.0,645.207,645.712,645.207,1.0,645.207,645.712,,1.0,,,,44.0,1.25,3.25,44.0,70.115,1.0,230042.3303,71.7405,,,,2.0,1.0
47.0,647.342,647.847,647.342,1.0,647.342,647.847,,1.0,,,,45.0,1.75,2.5,45.0,72.2501,1.0,230044.0905,73.5007,,,,2.0,1.0
48.0,649.102,649.607,649.102,1.0,649.102,649.607,,0.0,,,,46.0,1.25,2.75,46.0,74.0092,0.0,230045.9748,75.385,,,,2.0,1.0
49.0,650.986,651.491,650.986,1.0,650.986,651.491,,0.0,,,,47.0,1.75,2.75,47.0,75.8939,0.0,230047.8594,77.2697,,,,2.0,1.0
50.0,652.872,653.376,652.872,1.0,652.872,653.376,,1.0,,,,48.0,3.0,3.0,48.0,77.7789,1.0,230049.8695,79.2798,,,,2.0,1.0
51.0,654.881,655.386,654.881,1.0,654.881,655.386,,0.0,,,,49.0,2.25,1.25,49.0,79.7891,0.0,230051.0045,80.4148,,,,2.0,1.0
52.0,656.016,656.521,656.016,1.0,656.016,656.521,,0.0,,,,50.0,1.5,3.5,50.0,80.9231,0.0,230053.2637,82.674,,,,2.0,1.0
53.0,658.276,658.78,658.276,1.0,658.276,658.78,,1.0,,,,51.0,1.25,3.25,51.0,83.1825,1.0,230055.3979,84.8081,,,,2.0,1.0
54.0,660.409,660.915,660.409,1.0,660.409,660.915,,0.0,,,,52.0,2.5,3.75,52.0,85.3174,0.0,230057.7832,87.1935,,,,2.0,1.0
55.0,662.797,663.301,662.797,1.0,662.797,663.301,,1.0,,,,53.0,1.0,2.25,53.0,87.704,1.0,230059.4195,88.8298,,,,2.0,1.0
56.0,664.432,664.937,664.432,1.0,664.432,664.937,,1.0,,,,54.0,1.25,3.75,54.0,89.3396,1.0,230061.8051,91.2154,,,,2.0,1.0
57.0,666.818,667.323,666.818,1.0,666.818,667.323,,1.0,,,,55.0,1.0,3.25,55.0,91.7255,1.0,230063.941,93.3513,,,,2.0,1.0
58.0,668.952,669.457,668.952,1.0,668.952,669.457,,0.0,,,,56.0,3.25,3.5,56.0,93.8596,0.0,230066.1999,95.6101,,,,2.0,1.0
59.0,671.211,671.716,671.211,1.0,671.211,671.716,,1.0,,,,57.0,1.25,2.0,57.0,96.1187,1.0,230067.7092,97.1194,,,,2.0,1.0
60.0,672.722,673.226,672.722,1.0,672.722,673.226,,0.0,,,,58.0,1.75,3.25,58.0,97.629,0.0,230069.8443,99.2545,,,,2.0,1.0
