Trial number,Fixation Onset NEV,Image Onset NEV,Image Offset NEV,nothing,Fixation Onset NEV,Onset Choice Period,Response time NEV,Shade value NEV,Reaction time NEV,Trial onset,Trial offset,Nothing,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,956.453125,961.970703125,,0.0,0.0,0.0,961.857421875,0.0,961.857421875,956.453125,962.47265625,1.0,3.25,1.25,1.0,1.5041,0.0,164789.3317,6.0315,6.68e-05,4.0265,164784.6879,,7.0,3.0
2.0,963.7294921875,969.2373046875,963.73046875,0.0,0.0,0.0,968.5302734375,0.0,968.5302734375,963.7294921875,969.7392578125,2.0,2.25,3.5,2.0,1.5041,0.0,164796.5989,13.2987,7.2852,11.2938,164776.8072,,7.0,3.0
3.0,973.2470703125,978.75390625,973.248046875,0.0,0.0,0.0,978.0556640625,1.0,978.0556640625,973.2470703125,979.255859375,3.0,3.25,3.75,3.0,1.5041,1.0,164806.1156,22.8154,16.802,20.8103,164767.3021,,7.0,3.0
4.0,983.0126953125,988.5205078125,983.013671875,0.0,0.0,0.0,987.822265625,0.0,987.822265625,983.0126953125,989.0224609375,4.0,2.75,1.0,4.0,1.5039,0.0,164815.8821,32.5819,26.5687,30.5772,164757.5363,,7.0,3.0
5.0,990.03125,995.5439453125,990.0322265625,0.0,0.0,0.0,994.6728515625,1.0,994.6728515625,990.03125,996.0478515625,5.0,3.5,3.75,5.0,1.5055,1.0,164822.906,39.606,33.5855,37.5975,164750.3475,,7.0,3.0
6.0,999.8037109375,1005.3125,999.8046875,0.0,0.0,0.0,1004.4453125,1.0,1004.4453125,999.8037109375,1005.8134765625,6.0,3.0,3.25,6.0,1.5042,1.0,164832.6735,49.3732,43.3611,47.3686,164740.5765,,7.0,3.0
7.0,1009.068359375,1014.5771484375,1009.0693359375,0.0,0.0,0.0,1014.28515625,0.0,1014.28515625,1009.068359375,1015.078125,7.0,3.0,2.0,7.0,1.5037,0.0,164841.9381,58.6378,52.6262,56.6337,164731.8865,,7.0,3.0
8.0,1017.0849609375,1022.5908203125,1017.0859375,0.0,0.0,0.0,1021.62109375,1.0,1021.62109375,1017.0849609375,1023.0927734375,8.0,2.75,1.5,8.0,1.5036,1.0,164849.9529,66.6527,60.6408,64.6486,164723.1929,,7.0,3.0
9.0,1024.5986328125,1030.10546875,1024.599609375,0.0,0.0,0.0,1029.2314453125,0.0,1029.2314453125,1024.5986328125,1030.607421875,9.0,3.0,1.0,9.0,1.5036,0.0,164857.4675,74.1672,68.1557,72.1632,164715.7716,,7.0,3.0
10.0,1031.61328125,1037.1201171875,1031.6142578125,0.0,0.0,0.0,1036.0927734375,0.0,1036.0927734375,1031.61328125,1037.6220703125,10.0,1.75,1.0,10.0,1.5038,0.0,164864.4822,81.1819,75.1702,79.1777,164708.6062,,7.0,3.0
11.0,1038.626953125,1044.134765625,1038.6279296875,0.0,0.0,0.0,1043.1884765625,1.0,1043.1884765625,1038.626953125,1044.63671875,11.0,1.25,3.25,11.0,1.5036,1.0,164871.4969,88.1967,82.1852,86.1926,164701.6726,,7.0,3.0
12.0,1047.8916015625,1053.400390625,1047.892578125,0.0,0.0,0.0,1052.365234375,1.0,1052.365234375,1047.8916015625,1053.9013671875,12.0,3.0,1.75,12.0,1.5037,1.0,164880.7615,97.4613,91.4497,95.4572,164692.3196,,7.0,3.0
13.0,1055.65625,,1055.6572265625,0.0,0.0,0.0,,0.0,,1055.65625,1061.666015625,13.0,3.75,1.0,13.0,1.5038,0.0,164888.5264,105.2262,99.2143,103.222,-1.0,,7.0,3.0
14.0,1062.6708984375,1068.1806640625,,0.0,0.0,0.0,1067.2685546875,1.0,1067.2685546875,1062.6708984375,1068.6806640625,14.0,2.25,2.0,14.0,1.5037,1.0,164895.5414,112.2412,106.2292,110.237,164677.6642,,7.0,3.0
15.0,1070.6865234375,1076.193359375,1070.6875,0.0,0.0,0.0,1075.29296875,0.0,1075.29296875,1070.6865234375,1076.6953125,15.0,3.25,3.25,15.0,1.5037,0.0,164903.5562,120.256,114.2442,118.2519,164669.6583,,7.0,3.0
16.0,1079.9501953125,1085.4580078125,1079.951171875,0.0,0.0,0.0,1084.5078125,0.0,1084.5078125,1079.9501953125,1085.9599609375,16.0,1.5,2.25,16.0,1.5036,0.0,164912.8208,129.5206,123.509,127.5165,164660.3449,,7.0,3.0
17.0,1088.21484375,1093.72265625,1088.2158203125,0.0,0.0,0.0,1092.693359375,1.0,1092.693359375,1088.21484375,1094.224609375,17.0,2.25,2.75,17.0,1.5037,1.0,164921.0855,137.7852,131.7736,135.7811,164651.9993,,7.0,3.0
18.0,1096.9794921875,1102.48828125,1096.98046875,0.0,0.0,0.0,1101.5400390625,1.0,1101.5400390625,1096.9794921875,1102.9892578125,18.0,3.0,3.25,18.0,1.5038,1.0,164929.8505,146.5502,140.5383,144.546,164643.3177,,7.0,3.0
19.0,1106.244140625,1111.751953125,1106.2451171875,0.0,0.0,0.0,1111.244140625,0.0,1111.244140625,1106.244140625,1112.25390625,19.0,1.75,3.0,19.0,1.5037,0.0,164939.1151,155.8148,149.8032,153.8107,164634.4923,,7.0,3.0
20.0,1115.2587890625,1120.7666015625,1115.259765625,0.0,0.0,0.0,1119.9716796875,0.0,1119.9716796875,1115.2587890625,1121.267578125,20.0,2.75,1.25,20.0,1.5037,0.0,164948.1297,164.8295,158.8178,162.8254,164625.1912,,7.0,3.0
21.0,1122.5244140625,1128.03125,1122.525390625,0.0,0.0,0.0,1127.099609375,1.0,1127.099609375,1122.5244140625,1128.533203125,21.0,1.25,2.25,21.0,1.5036,1.0,164955.3949,172.0947,166.0825,170.0907,164617.7891,,7.0,3.0
22.0,1130.7880859375,1136.296875,1130.7890625,0.0,0.0,0.0,1135.70703125,0.0,1135.70703125,1130.7880859375,1136.7978515625,22.0,3.75,2.0,22.0,1.5036,0.0,164963.6595,180.3592,174.3477,178.3552,164609.8674,,7.0,3.0
23.0,1138.8037109375,1144.310546875,1138.8046875,0.0,0.0,0.0,1143.4111328125,0.0,1143.4111328125,1138.8037109375,1144.8125,23.0,2.75,1.5,23.0,1.5037,0.0,164971.6742,188.374,182.3622,186.3699,164601.5422,,7.0,3.0
24.0,1146.318359375,1151.8251953125,1146.3193359375,0.0,0.0,0.0,1150.98828125,1.0,1150.98828125,1146.318359375,1152.3271484375,24.0,3.25,1.75,24.0,1.5037,1.0,164979.1888,195.8885,189.877,193.8844,164594.0889,,7.0,3.0
25.0,1154.08203125,1159.58984375,1154.0830078125,0.0,0.0,0.0,1158.66796875,1.0,1158.66796875,1154.08203125,1160.0908203125,25.0,2.5,3.0,25.0,1.5036,1.0,164986.9533,203.6531,197.6415,201.649,164586.2395,,7.0,3.0
26.0,1163.0966796875,1168.60546875,1163.09765625,0.0,0.0,0.0,1167.72265625,0.0,1167.72265625,1163.0966796875,1169.1064453125,26.0,3.5,3.75,26.0,1.5036,0.0,164995.9688,212.6685,206.6561,210.6645,164577.2654,,7.0,3.0
27.0,1172.86328125,1178.3701171875,1172.8642578125,0.0,0.0,0.0,1177.466796875,0.0,1177.466796875,1172.86328125,1178.87109375,27.0,2.5,1.25,27.0,1.5038,0.0,165005.7335,222.4332,216.4215,220.429,164567.4794,,7.0,3.0
28.0,1180.1279296875,1185.634765625,1180.12890625,0.0,0.0,0.0,1184.6904296875,0.0,1184.6904296875,1180.1279296875,1186.1357421875,28.0,1.25,1.75,28.0,1.5036,0.0,165012.998,229.6978,223.6862,227.6937,164560.1744,,7.0,3.0
29.0,1187.8916015625,1193.3984375,1187.892578125,0.0,0.0,0.0,1192.3876953125,0.0,1192.3876953125,1187.8916015625,1193.900390625,29.0,3.5,1.75,29.0,1.5036,0.0,165020.7626,237.4624,231.4508,235.4584,164552.3412,,7.0,3.0
