Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,TrialTypeDesignation
1.0,21.339,22.155,0.0,0.0,0.0,100.0,,1.0,2.0,,1.0,0.8,0.8,1.0,0.024053,0.0,193125.3152,0.82532,1.0,2.0
2.0,22.155,22.972,0.0,0.0,0.0,100.0,,1.0,2.0,,2.0,0.8,0.8,2.0,0.84074,0.0,193126.1317,1.6419,1.0,2.0
3.0,22.972,23.789,0.0,0.0,0.0,100.0,,1.0,2.0,,3.0,0.8,0.8,3.0,1.6573,0.0,193126.9482,2.4584,1.0,2.0
4.0,23.789,24.605,0.0,0.0,0.0,100.0,,1.0,2.0,,4.0,0.8,0.8,4.0,2.4739,1.0,193127.7648,3.2749,1.0,2.0
5.0,24.605,25.422,0.0,0.0,0.0,100.0,,1.0,2.0,,5.0,0.8,0.8,5.0,3.2905,0.0,193128.5814,4.0916,1.0,2.0
6.0,25.422,26.239,0.0,0.0,0.0,100.0,,1.0,2.0,,6.0,0.8,0.8,6.0,4.1072,1.0,193129.3981,4.9082,1.0,2.0
7.0,26.239,27.055,0.0,0.0,0.0,100.0,,1.0,2.0,,7.0,0.8,0.8,7.0,4.9237,1.0,193130.2146,5.7247,1.0,2.0
8.0,27.055,27.872,0.0,0.0,0.0,100.0,,1.0,2.0,,8.0,0.8,0.8,8.0,5.7404,1.0,193131.0312,6.5414,1.0,2.0
9.0,27.872,28.689,0.0,0.0,0.0,100.0,,1.0,2.0,,9.0,0.8,0.8,9.0,6.557,0.0,193131.8479,7.358,1.0,2.0
10.0,28.689,29.505,0.0,0.0,0.0,100.0,,1.0,2.0,,10.0,0.8,0.8,10.0,7.3735,1.0,193132.6643,8.1745,1.0,2.0
11.0,29.505,30.322,0.0,0.0,0.0,100.0,,1.0,2.0,,11.0,0.8,0.8,11.0,8.1903,0.0,193133.4811,8.9912,1.0,2.0
12.0,30.322,31.139,0.0,0.0,0.0,100.0,,1.0,2.0,,12.0,0.8,0.8,12.0,9.0068,1.0,193134.2975,9.8077,1.0,2.0
13.0,31.139,31.955,0.0,0.0,0.0,100.0,,1.0,2.0,,13.0,0.8,0.8,13.0,9.8235,0.0,193135.1142,10.6243,1.0,2.0
14.0,31.955,32.772,0.0,0.0,0.0,100.0,,1.0,2.0,,14.0,0.8,0.8,14.0,10.6401,0.0,193135.9308,11.4409,1.0,2.0
15.0,32.772,33.589,0.0,0.0,0.0,100.0,,1.0,2.0,,15.0,0.8,0.8,15.0,11.4567,0.0,193136.7474,12.2575,1.0,2.0
16.0,33.589,34.405,0.0,0.0,0.0,100.0,,1.0,2.0,,16.0,0.8,0.8,16.0,12.2732,0.0,193137.5639,13.0741,1.0,2.0
17.0,34.405,35.222,0.0,0.0,0.0,100.0,,1.0,2.0,,17.0,0.8,0.8,17.0,13.0899,0.0,193138.3806,13.8908,1.0,2.0
18.0,35.222,36.039,0.0,0.0,0.0,100.0,,1.0,2.0,,18.0,0.8,0.8,18.0,13.9064,0.0,193139.1971,14.7072,1.0,2.0
19.0,36.039,36.855,0.0,0.0,0.0,100.0,,1.0,2.0,,19.0,0.8,0.8,19.0,14.7231,1.0,193140.0138,15.524,1.0,2.0
20.0,36.855,37.672,0.0,0.0,0.0,100.0,,1.0,2.0,,20.0,0.8,0.8,20.0,15.5397,0.0,193140.8305,16.3407,1.0,2.0
21.0,37.672,38.489,0.0,0.0,0.0,100.0,,1.0,2.0,,21.0,0.8,0.8,21.0,16.3563,0.0,193141.6471,17.1573,1.0,2.0
22.0,38.489,39.305,0.0,0.0,0.0,100.0,,1.0,2.0,,22.0,0.8,0.8,22.0,17.1729,1.0,193142.4636,17.9739,1.0,2.0
23.0,39.305,40.122,0.0,0.0,0.0,100.0,,1.0,2.0,,23.0,0.8,0.8,23.0,17.9896,0.0,193143.2804,18.7906,1.0,2.0
24.0,40.122,40.939,0.0,0.0,0.0,100.0,,1.0,2.0,,24.0,0.8,0.8,24.0,18.8062,1.0,193144.097,19.6072,1.0,2.0
25.0,40.939,41.755,0.0,0.0,0.0,100.0,,1.0,2.0,,25.0,0.8,0.8,25.0,19.6227,0.0,193144.9136,20.4237,1.0,2.0
26.0,41.755,42.572,0.0,0.0,0.0,100.0,,1.0,2.0,,26.0,0.8,0.8,26.0,20.4394,1.0,193145.7303,21.2404,1.0,2.0
27.0,42.572,43.389,0.0,0.0,0.0,100.0,,1.0,2.0,,27.0,0.8,0.8,27.0,21.256,1.0,193146.5468,22.057,1.0,2.0
28.0,43.389,44.205,0.0,0.0,0.0,100.0,,1.0,2.0,,28.0,0.8,0.8,28.0,22.0726,1.0,193147.3634,22.8735,1.0,2.0
29.0,44.205,45.022,0.0,0.0,0.0,100.0,,1.0,2.0,,29.0,0.8,0.8,29.0,22.8892,0.0,193148.1801,23.6902,1.0,2.0
30.0,45.022,45.839,0.0,0.0,0.0,100.0,,1.0,2.0,,30.0,0.8,0.8,30.0,23.7058,0.0,193148.9967,24.5068,1.0,2.0
31.0,45.839,46.655,0.0,0.0,0.0,100.0,,1.0,2.0,,31.0,0.8,0.8,31.0,24.5224,1.0,193149.8132,25.3234,1.0,2.0
32.0,46.655,47.472,0.0,0.0,0.0,100.0,,1.0,2.0,,32.0,0.8,0.8,32.0,25.339,0.0,193150.6299,26.14,1.0,2.0
33.0,47.472,48.289,0.0,0.0,0.0,100.0,,1.0,2.0,,33.0,0.8,0.8,33.0,26.1557,0.0,193151.4465,26.9566,1.0,2.0
34.0,48.289,49.105,0.0,0.0,0.0,100.0,,1.0,2.0,,34.0,0.8,0.8,34.0,26.9722,0.0,193152.263,27.7732,1.0,2.0
35.0,49.105,49.922,0.0,0.0,0.0,100.0,,1.0,2.0,,35.0,0.8,0.8,35.0,27.7889,0.0,193153.0797,28.5899,1.0,2.0
36.0,49.922,50.739,0.0,0.0,0.0,100.0,,1.0,2.0,,36.0,0.8,0.8,36.0,28.6055,0.0,193153.8962,29.4063,1.0,2.0
37.0,50.739,51.555,0.0,0.0,0.0,100.0,,1.0,2.0,,37.0,0.8,0.8,37.0,29.422,1.0,193154.7127,30.2229,1.0,2.0
38.0,51.555,52.372,0.0,0.0,0.0,100.0,,1.0,2.0,,38.0,0.8,0.8,38.0,30.2387,0.0,193155.5294,31.0396,1.0,2.0
39.0,52.372,53.189,0.0,0.0,0.0,100.0,,1.0,2.0,,39.0,0.8,0.8,39.0,31.0553,1.0,193156.346,31.8562,1.0,2.0
40.0,53.189,54.005,0.0,0.0,0.0,100.0,,1.0,2.0,,40.0,0.8,0.8,40.0,31.8719,0.0,193157.1626,32.6727,1.0,2.0
41.0,54.005,54.822,0.0,0.0,0.0,100.0,,1.0,2.0,,41.0,0.8,0.8,41.0,32.6885,0.0,193157.9793,33.4894,1.0,2.0
42.0,54.822,55.639,0.0,0.0,0.0,100.0,,1.0,2.0,,42.0,0.8,0.8,42.0,33.5052,1.0,193158.7959,34.306,1.0,2.0
43.0,55.639,56.455,0.0,0.0,0.0,100.0,,1.0,2.0,,43.0,0.8,0.8,43.0,34.3217,1.0,193159.6124,35.1225,1.0,2.0
44.0,56.455,57.272,0.0,0.0,0.0,100.0,,1.0,2.0,,44.0,0.8,0.8,44.0,35.1384,0.0,193160.4291,35.9392,1.0,2.0
45.0,57.272,58.089,0.0,0.0,0.0,100.0,,1.0,2.0,,45.0,0.8,0.8,45.0,35.955,0.0,193161.2457,36.7558,1.0,2.0
46.0,58.089,58.905,0.0,0.0,0.0,100.0,,1.0,2.0,,46.0,0.8,0.8,46.0,36.7715,1.0,193162.0621,37.5722,1.0,2.0
47.0,58.905,59.722,0.0,0.0,0.0,100.0,,1.0,2.0,,47.0,0.8,0.8,47.0,37.588,1.0,193162.8786,38.3888,1.0,2.0
48.0,59.722,60.539,0.0,0.0,0.0,100.0,,1.0,2.0,,48.0,0.8,0.8,48.0,38.4048,0.0,193163.6955,39.2057,1.0,2.0
49.0,60.539,61.355,0.0,0.0,0.0,100.0,,1.0,2.0,,49.0,0.8,0.8,49.0,39.2214,0.0,193164.5121,40.0222,1.0,2.0
50.0,61.355,62.172,0.0,0.0,0.0,100.0,,1.0,2.0,,50.0,0.8,0.8,50.0,40.038,0.0,193165.3288,40.8389,1.0,2.0
51.0,62.172,62.989,0.0,0.0,0.0,100.0,,1.0,2.0,,51.0,0.8,0.8,51.0,40.8546,1.0,193166.1453,41.6555,1.0,2.0
52.0,62.989,63.805,0.0,0.0,0.0,100.0,,1.0,2.0,,52.0,0.8,0.8,52.0,41.6712,0.0,193166.9619,42.4721,1.0,2.0
53.0,63.805,64.622,0.0,0.0,0.0,100.0,,1.0,2.0,,53.0,0.8,0.8,53.0,42.4879,0.0,193167.7786,43.2887,1.0,2.0
54.0,64.622,65.439,0.0,0.0,0.0,100.0,,1.0,2.0,,54.0,0.8,0.8,54.0,43.3045,0.0,193168.5952,44.1053,1.0,2.0
55.0,65.439,66.255,0.0,0.0,0.0,100.0,,1.0,2.0,,55.0,0.8,0.8,55.0,44.121,0.0,193169.4126,44.9228,1.0,2.0
56.0,66.255,67.072,0.0,0.0,0.0,100.0,,1.0,2.0,,56.0,0.8,0.8,56.0,44.9377,0.0,193170.2284,45.7385,1.0,2.0
57.0,67.072,67.889,0.0,0.0,0.0,100.0,,1.0,2.0,,57.0,0.8,0.8,57.0,45.7543,0.0,193171.045,46.5552,1.0,2.0
58.0,67.889,68.705,0.0,0.0,0.0,100.0,,1.0,2.0,,58.0,0.8,0.8,58.0,46.5708,1.0,193171.8615,47.3717,1.0,2.0
59.0,68.705,69.522,0.0,0.0,0.0,100.0,,1.0,2.0,,59.0,0.8,0.8,59.0,47.3875,0.0,193172.6783,48.1884,1.0,2.0
60.0,69.522,70.339,0.0,0.0,0.0,100.0,,1.0,2.0,,60.0,0.8,0.8,60.0,48.2041,1.0,193173.4948,49.005,1.0,2.0
61.0,70.339,71.155,0.0,0.0,0.0,100.0,,1.0,2.0,,61.0,0.8,0.8,61.0,49.0207,0.0,193174.3114,49.8215,1.0,2.0
62.0,71.155,71.972,0.0,0.0,0.0,100.0,,1.0,2.0,,62.0,0.8,0.8,62.0,49.8374,1.0,193175.1281,50.6382,1.0,2.0
63.0,71.972,72.789,0.0,0.0,0.0,100.0,,1.0,2.0,,63.0,0.8,0.8,63.0,50.6539,1.0,193175.9447,51.4548,1.0,2.0
64.0,72.789,73.605,0.0,0.0,0.0,100.0,,1.0,2.0,,64.0,0.8,0.8,64.0,51.4705,0.0,193176.7612,52.2714,1.0,2.0
65.0,73.605,74.422,0.0,0.0,0.0,100.0,,1.0,2.0,,65.0,0.8,0.8,65.0,52.2872,1.0,193177.5779,53.0881,1.0,2.0
66.0,74.422,75.239,0.0,0.0,0.0,100.0,,1.0,2.0,,66.0,0.8,0.8,66.0,53.1038,1.0,193178.3945,53.9047,1.0,2.0
67.0,75.239,76.055,0.0,0.0,0.0,100.0,,1.0,2.0,,67.0,0.8,0.8,67.0,53.9203,1.0,193179.211,54.7212,1.0,2.0
