Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,47.157,47.157,47.172,1.0,47.157,47.172,,1.0,,47.157,47.172,1.0,3.25,1.25,1.0,0.034438,0.0,1598160.6036,0.83741,,,,,1.0,2.0
2.0,47.973,47.973,47.988,1.0,47.973,47.988,,1.0,,47.973,47.988,2.0,2.25,3.5,2.0,0.85097,0.0,1598161.4189,1.6527,,,,,1.0,2.0
3.0,48.789,48.789,48.805,1.0,48.789,48.805,,1.0,,48.789,48.805,3.0,3.25,3.75,3.0,1.6676,0.0,1598162.2352,2.469,,,,,1.0,2.0
4.0,49.605,49.605,49.622,1.0,49.605,49.622,,1.0,,49.605,49.622,4.0,2.75,1.0,4.0,2.4843,1.0,1598163.0512,3.285,,,,,1.0,2.0
5.0,50.423,50.423,50.438,1.0,50.423,50.438,,1.0,,50.423,50.438,5.0,3.5,3.75,5.0,3.3012,0.0,1598163.8697,4.1037,,,,,1.0,2.0
6.0,51.238,51.238,51.255,1.0,51.238,51.255,,1.0,,51.238,51.255,6.0,3.0,3.25,6.0,4.1176,1.0,1598164.6843,4.9181,,,,,1.0,2.0
7.0,52.056,52.056,52.072,1.0,52.056,52.072,,1.0,,52.056,52.072,7.0,3.0,2.0,7.0,4.9347,1.0,1598165.5018,5.7355,,,,,1.0,2.0
8.0,52.872,52.872,52.888,1.0,52.872,52.888,,1.0,,52.872,52.888,8.0,2.75,1.5,8.0,5.7512,1.0,1598166.3179,6.5517,,,,,1.0,2.0
9.0,53.689,53.689,53.705,1.0,53.689,53.705,,1.0,,53.689,53.705,9.0,3.0,1.0,9.0,6.5677,0.0,1598167.1344,7.3682,,,,,1.0,2.0
10.0,54.505,54.505,54.522,1.0,54.505,54.522,,1.0,,54.505,54.522,10.0,1.75,1.0,10.0,7.3847,1.0,1598167.9513,8.1851,,,,,1.0,2.0
11.0,55.322,55.322,55.339,1.0,55.322,55.339,,1.0,,55.322,55.339,11.0,1.25,3.25,11.0,8.2014,0.0,1598168.768,9.0018,,,,,1.0,2.0
12.0,56.139,56.139,56.155,1.0,56.139,56.155,,1.0,,56.139,56.155,12.0,3.0,1.75,12.0,9.0185,1.0,1598169.5852,9.819,,,,,1.0,2.0
13.0,56.955,56.955,56.972,1.0,56.955,56.972,,1.0,,56.955,56.972,13.0,3.75,1.0,13.0,9.8347,0.0,1598170.4013,10.6351,,,,,1.0,2.0
14.0,57.772,57.772,57.789,1.0,57.772,57.789,,1.0,,57.772,57.789,14.0,2.25,2.0,14.0,10.6513,0.0,1598171.218,11.4518,,,,,1.0,2.0
15.0,58.589,58.589,58.605,1.0,58.589,58.605,,1.0,,58.589,58.605,15.0,3.25,3.25,15.0,11.4681,0.0,1598172.0348,12.2686,,,,,1.0,2.0
16.0,59.406,59.406,59.422,1.0,59.406,59.422,,1.0,,59.406,59.422,16.0,1.5,2.25,16.0,12.2847,0.0,1598172.8513,13.0851,,,,,1.0,2.0
17.0,60.222,60.222,60.239,1.0,60.222,60.239,,1.0,,60.222,60.239,17.0,2.25,2.75,17.0,13.1015,0.0,1598173.6681,13.9019,,,,,1.0,2.0
18.0,61.039,61.039,61.055,1.0,61.039,61.055,,1.0,,61.039,61.055,18.0,3.0,3.25,18.0,13.918,0.0,1598174.4847,14.7185,,,,,1.0,2.0
