Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,894.134,894.641,,1.0,894.134,894.641,,0.0,,894.134,894.641,1.0,3.25,1.25,1.0,0.51775,0.0,511367.4456,1.1441,,,,2.0,1.0
2.0,895.274,895.78,895.274,1.0,895.274,895.78,,1.0,,895.274,895.78,2.0,2.25,3.5,2.0,1.6566,1.0,511369.7094,3.4079,,,,2.0,1.0
3.0,897.537,898.043,897.537,1.0,897.537,898.043,,1.0,,897.537,898.043,3.0,3.25,3.75,3.0,3.9205,1.0,511372.0984,5.7969,,,,2.0,1.0
4.0,899.925,900.432,899.925,1.0,899.925,900.432,,0.0,,899.925,900.432,4.0,2.75,1.0,4.0,6.3086,0.0,511373.1113,6.8098,,,,2.0,1.0
5.0,900.94,901.449,900.94,1.0,900.94,901.449,,0.0,,900.94,901.449,5.0,3.5,3.75,5.0,7.3251,0.0,511375.5048,9.2033,,,,2.0,1.0
6.0,903.332,903.837,903.332,1.0,903.332,903.837,,0.0,,903.332,903.837,6.0,3.0,3.25,6.0,9.7143,0.0,511377.6417,11.34,,,,2.0,1.0
7.0,905.468,905.974,905.468,1.0,905.468,905.974,,1.0,,905.468,905.974,7.0,3.0,2.0,7.0,11.8513,1.0,511379.1538,12.8521,,,,2.0,1.0
8.0,906.98,907.486,906.98,1.0,906.98,907.486,,1.0,,906.98,907.486,8.0,2.75,1.5,8.0,13.3625,1.0,511380.4149,14.1133,,,,2.0,1.0
9.0,908.242,908.748,908.242,1.0,908.242,908.748,,1.0,,908.242,908.748,9.0,3.0,1.0,9.0,14.6244,1.0,511381.4268,15.1251,,,,2.0,1.0
10.0,909.253,909.759,909.253,1.0,909.253,909.759,,0.0,,909.253,909.759,10.0,1.75,1.0,10.0,15.6355,0.0,511382.4378,16.1361,,,,2.0,1.0
11.0,910.264,910.77,910.264,1.0,910.264,910.77,,0.0,,910.264,910.77,11.0,1.25,3.25,11.0,16.6471,0.0,511384.5745,18.2728,,,,2.0,1.0
12.0,912.4,912.906,912.4,1.0,912.4,912.906,,1.0,,912.4,912.906,12.0,3.0,1.75,12.0,18.7832,1.0,511385.9606,19.6589,,,,2.0,1.0
13.0,913.787,914.292,913.787,1.0,913.787,914.292,,0.0,,913.787,914.292,13.0,3.75,1.0,13.0,20.1693,0.0,511386.9716,20.67,,,,2.0,1.0
