Trial number,Fixation Onset NEV,Image Onset NEV,Image Offset NEV,nothing,Fixation Onset NEV,Onset Choice Period,Response time NEV,Shade value NEV,Reaction time NEV,Trial onset,Trial offset,Nothing,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,574.788,580.322,580.825,1.0,574.788,578.805,,0.0,,574.788,580.825,1.0,3.25,1.25,1.0,1.5164,0.0,699278.4177,6.0511,4.58e-05,4.0335,-1.0,,4.0,3.0
2.0,582.105,587.638,588.143,1.0,582.105,586.122,,1.0,,582.105,588.143,2.0,2.25,3.5,2.0,1.5164,1.0,699285.7344,13.3678,7.3173,11.3502,-1.0,,4.0,3.0
3.0,591.672,597.206,597.71,1.0,591.672,595.689,,1.0,,591.672,597.71,3.0,3.25,3.75,3.0,1.5164,1.0,699295.3014,22.9348,16.8842,20.9171,-1.0,,4.0,3.0
4.0,601.489,607.022,607.525,1.0,601.489,605.506,,0.0,,601.489,607.525,4.0,2.75,1.0,4.0,1.5164,0.0,699305.1179,32.7513,26.7008,30.7338,-1.0,,4.0,3.0
5.0,608.556,614.09,614.594,1.0,608.556,612.573,,1.0,,608.556,614.594,5.0,3.5,3.75,5.0,1.5157,1.0,699312.1862,39.8197,33.7681,37.801,-1.0,,4.0,3.0
6.0,618.373,623.906,624.409,1.0,618.373,622.389,622.391,0.0,0.002,618.373,624.409,6.0,3.0,3.25,6.0,1.5165,0.0,699322.001,49.6343,43.5851,47.6172,699228.7817,,4.0,3.0
7.0,627.69,633.223,633.725,1.0,627.69,631.706,,0.0,,627.69,633.725,7.0,3.0,2.0,7.0,1.5164,0.0,699331.3178,58.9511,52.901,56.9341,-1.0,,4.0,3.0
8.0,635.756,641.29,641.792,1.0,635.756,639.773,640.215,0.0,0.442,635.756,641.792,8.0,2.75,1.5,8.0,1.5165,0.0,699339.3846,67.0178,60.9676,65.0007,699211.841,,4.0,3.0
9.0,643.323,648.856,649.359,1.0,643.323,647.34,647.783,0.0,0.443,643.323,649.359,9.0,3.0,1.0,9.0,1.5166,0.0,699346.9514,74.5847,68.5344,72.5676,699204.275,,4.0,3.0
10.0,650.39,655.923,656.426,1.0,650.39,654.407,655.431,0.0,1.024,650.39,656.426,10.0,1.75,1.0,10.0,1.5164,0.0,699354.018,81.6513,75.6011,79.6344,699197.7894,,4.0,3.0
11.0,657.457,662.99,663.492,1.0,657.457,661.473,662.506,0.0,1.033,657.457,663.492,11.0,1.25,3.25,11.0,1.5164,0.0,699361.0848,88.718,82.6678,86.7011,699190.7284,,4.0,3.0
12.0,666.774,672.307,672.81,1.0,666.774,670.79,671.583,0.0,0.793,666.774,672.81,12.0,3.0,1.75,12.0,1.5164,0.0,699370.4015,98.0348,91.9846,96.0178,699181.1745,,4.0,3.0
13.0,674.591,680.124,680.626,1.0,674.591,678.607,,0.0,,674.591,680.626,13.0,3.75,1.0,13.0,1.5165,0.0,699378.2183,105.8516,99.8014,103.8345,-1.0,,4.0,3.0
14.0,681.657,687.191,687.693,1.0,681.657,685.674,686.144,0.0,0.47,681.657,687.693,14.0,2.25,2.0,14.0,1.5165,0.0,699385.285,112.9183,106.8681,110.9012,699165.9675,,4.0,3.0
15.0,689.724,695.258,695.76,1.0,689.724,693.741,694.312,0.0,0.571,689.724,695.76,15.0,3.25,3.25,15.0,1.5167,0.0,699393.352,120.9853,114.935,118.968,699158.0019,,4.0,3.0
16.0,699.041,704.574,705.077,1.0,699.041,703.058,704.12,0.0,1.062,699.041,705.077,16.0,1.5,2.25,16.0,1.5166,0.0,699402.6687,130.3019,124.2517,128.2848,699149.1768,,4.0,3.0
17.0,707.358,712.891,713.394,1.0,707.358,711.374,711.976,0.0,0.602,707.358,713.394,17.0,2.25,2.75,17.0,1.5165,0.0,699410.9853,138.6186,132.5685,136.6015,699140.3988,,4.0,3.0
18.0,716.175,721.708,722.211,1.0,716.175,720.191,,0.0,,716.175,722.211,18.0,3.0,3.25,18.0,1.5165,0.0,699419.8022,147.4355,141.3853,145.4184,-1.0,,4.0,3.0
19.0,725.492,731.025,731.528,1.0,725.492,729.508,,1.0,,725.492,731.528,19.0,1.75,3.0,19.0,1.5165,1.0,699429.1189,156.7521,150.7021,154.7351,-1.0,,4.0,3.0
