Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,41.117,41.933,41.917,1.0,41.917,41.933,,1.0,,,,1.0,3.25,1.25,1.0,0.014945,0.0,159154.6511,0.81574,,,,,1.0,2.0
2.0,41.933,42.75,42.734,1.0,42.734,42.75,,1.0,,,,2.0,2.25,3.5,2.0,0.83174,0.0,159155.4679,1.6325,,,,,1.0,2.0
3.0,42.75,43.567,43.55,1.0,43.55,43.567,,1.0,,,,3.0,3.25,3.75,3.0,1.6483,0.0,159156.2844,2.4491,,,,,1.0,2.0
4.0,43.567,44.384,44.367,1.0,44.367,44.384,,1.0,,,,4.0,2.75,1.0,4.0,2.465,1.0,159157.1009,3.2655,,,,,1.0,2.0
5.0,44.384,45.2,45.185,1.0,45.185,45.2,,1.0,,,,5.0,3.5,3.75,5.0,3.2817,0.0,159157.9192,4.0841,,,,,1.0,2.0
6.0,45.2,46.017,46.0,1.0,46.0,46.017,,1.0,,,,6.0,3.0,3.25,6.0,4.0983,1.0,159158.7341,4.8987,,,,,1.0,2.0
7.0,46.017,46.833,46.817,1.0,46.817,46.833,,1.0,,,,7.0,3.0,2.0,7.0,4.9149,1.0,159159.5507,5.7153,,,,,1.0,2.0
8.0,46.833,47.65,47.634,1.0,47.634,47.65,,1.0,,,,8.0,2.75,1.5,8.0,5.7316,1.0,159160.3675,6.5321,,,,,1.0,2.0
9.0,47.65,48.467,48.45,1.0,48.45,48.467,,1.0,,,,9.0,3.0,1.0,9.0,6.5483,0.0,159161.1842,7.3488,,,,,1.0,2.0
10.0,48.467,49.283,49.267,1.0,49.267,49.283,,1.0,,,,10.0,1.75,1.0,10.0,7.365,1.0,159162.0007,8.1653,,,,,1.0,2.0
11.0,49.283,50.1,50.084,1.0,50.084,50.1,,1.0,,,,11.0,1.25,3.25,11.0,8.1816,0.0,159162.8174,8.982,,,,,1.0,2.0
12.0,50.1,50.917,50.9,1.0,50.9,50.917,,1.0,,,,12.0,3.0,1.75,12.0,8.9983,1.0,159163.6341,9.7987,,,,,1.0,2.0
13.0,50.917,51.733,51.717,1.0,51.717,51.733,,1.0,,,,13.0,3.75,1.0,13.0,9.8149,0.0,159164.4507,10.6154,,,,,1.0,2.0
14.0,51.733,52.55,52.534,1.0,52.534,52.55,,1.0,,,,14.0,2.25,2.0,14.0,10.6316,0.0,159165.2674,11.432,,,,,1.0,2.0
15.0,52.55,53.367,53.35,1.0,53.35,53.367,,1.0,,,,15.0,3.25,3.25,15.0,11.4483,0.0,159166.084,12.2487,,,,,1.0,2.0
16.0,53.367,54.183,54.167,1.0,54.167,54.183,,1.0,,,,16.0,1.5,2.25,16.0,12.2649,0.0,159166.9006,13.0653,,,,,1.0,2.0
17.0,54.183,55.0,54.984,1.0,54.984,55.0,,1.0,,,,17.0,2.25,2.75,17.0,13.0816,0.0,159167.7174,13.882,,,,,1.0,2.0
18.0,55.0,55.817,55.8,1.0,55.8,55.817,,1.0,,,,18.0,3.0,3.25,18.0,13.8983,0.0,159168.534,14.6986,,,,,1.0,2.0
19.0,55.817,56.633,56.617,1.0,56.617,56.633,,1.0,,,,19.0,1.75,3.0,19.0,14.715,1.0,159169.3507,15.5154,,,,,1.0,2.0
20.0,56.633,57.45,57.434,1.0,57.434,57.45,,1.0,,,,20.0,2.75,1.25,20.0,15.5316,0.0,159170.1674,16.332,,,,,1.0,2.0
21.0,57.45,58.267,58.25,1.0,58.25,58.267,,1.0,,,,21.0,1.25,2.25,21.0,16.3483,0.0,159170.9841,17.1487,,,,,1.0,2.0
22.0,58.267,59.083,59.067,1.0,59.067,59.083,,1.0,,,,22.0,3.75,2.0,22.0,17.1649,1.0,159171.8007,17.9653,,,,,1.0,2.0
23.0,59.083,59.9,59.884,1.0,59.884,59.9,,1.0,,,,23.0,2.75,1.5,23.0,17.9816,0.0,159172.6174,18.782,,,,,1.0,2.0
24.0,59.9,60.717,60.7,1.0,60.7,60.717,,1.0,,,,24.0,3.25,1.75,24.0,18.7983,1.0,159173.434,19.5987,,,,,1.0,2.0
25.0,60.717,61.533,61.517,1.0,61.517,61.533,,1.0,,,,25.0,2.5,3.0,25.0,19.615,0.0,159174.2507,20.4153,,,,,1.0,2.0
26.0,61.533,62.35,62.334,1.0,62.334,62.35,,1.0,,,,26.0,3.5,3.75,26.0,20.4316,1.0,159175.0674,21.232,,,,,1.0,2.0
27.0,62.35,63.167,63.15,1.0,63.15,63.167,,1.0,,,,27.0,2.5,1.25,27.0,21.2483,1.0,159175.884,22.0487,,,,,1.0,2.0
28.0,63.167,63.983,63.967,1.0,63.967,63.983,,1.0,,,,28.0,1.25,1.75,28.0,22.0649,1.0,159176.7006,22.8653,,,,,1.0,2.0
29.0,63.983,64.8,64.784,1.0,64.784,64.8,,1.0,,,,29.0,3.5,1.75,29.0,22.8816,0.0,159177.5174,23.682,,,,,1.0,2.0
30.0,64.8,65.617,65.6,1.0,65.6,65.617,,1.0,,,,30.0,3.25,1.5,30.0,23.6983,0.0,159178.334,24.4986,,,,,1.0,2.0
31.0,65.617,66.433,66.417,1.0,66.417,66.433,,1.0,,,,31.0,3.75,2.0,31.0,24.515,1.0,159179.1507,25.3153,,,,,1.0,2.0
32.0,66.433,67.25,67.234,1.0,67.234,67.25,,1.0,,,,32.0,1.5,1.75,32.0,25.3316,0.0,159179.9674,26.132,,,,,1.0,2.0
33.0,67.25,68.067,68.05,1.0,68.05,68.067,,1.0,,,,33.0,2.75,2.25,33.0,26.1483,0.0,159180.784,26.9486,,,,,1.0,2.0
34.0,68.067,68.884,68.867,1.0,68.867,68.884,,1.0,,,,34.0,2.0,3.25,34.0,26.9649,0.0,159181.6006,27.7653,,,,,1.0,2.0
35.0,68.884,69.7,69.684,1.0,69.684,69.7,,1.0,,,,35.0,2.75,2.5,35.0,27.7816,0.0,159182.4173,28.5819,,,,,1.0,2.0
36.0,69.7,70.517,70.5,1.0,70.5,70.517,,1.0,,,,36.0,3.75,1.75,36.0,28.5983,0.0,159183.234,29.3986,,,,,1.0,2.0
37.0,70.517,71.334,71.317,1.0,71.317,71.334,,1.0,,,,37.0,3.25,3.25,37.0,29.415,1.0,159184.0507,30.2154,,,,,1.0,2.0
38.0,71.334,72.15,72.134,1.0,72.134,72.15,,1.0,,,,38.0,2.0,2.5,38.0,30.2316,0.0,159184.8673,31.032,,,,,1.0,2.0
39.0,72.15,72.967,72.951,1.0,72.951,72.967,,1.0,,,,39.0,1.0,1.0,39.0,31.0483,1.0,159185.684,31.8486,,,,,1.0,2.0
40.0,72.967,73.784,73.767,1.0,73.767,73.784,,1.0,,,,40.0,2.5,3.25,40.0,31.8649,0.0,159186.5007,32.6653,,,,,1.0,2.0
