Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,TrialTypeDesignation
69.0,123.326,124.359,0.0,0.0,0.0,100.0,,1.0,2.0,,69.0,0.8,0.8,69.0,115.7744,1.0,193554.1516,116.2751,1.0,1.0
70.0,124.359,126.759,0.0,0.0,0.0,100.0,,1.0,2.0,,70.0,0.8,0.8,70.0,116.8076,1.0,193556.5597,118.6832,1.0,1.0
71.0,126.759,128.409,0.0,0.0,0.0,100.0,,1.0,2.0,,71.0,0.8,0.8,71.0,119.2074,1.0,193558.2096,120.3331,1.0,1.0
72.0,128.409,130.693,0.0,0.0,0.0,100.0,,1.0,2.0,,72.0,0.8,0.8,72.0,120.8573,1.0,193560.4845,122.6079,1.0,1.0
73.0,130.693,131.843,0.0,0.0,0.0,100.0,,1.0,2.0,,73.0,0.8,0.8,73.0,123.1405,0.0,193561.6427,123.7662,1.0,1.0
74.0,131.843,133.376,0.0,0.0,0.0,100.0,,1.0,2.0,,74.0,0.8,0.8,74.0,124.2904,1.0,193563.1676,125.2911,1.0,1.0
75.0,133.376,134.909,0.0,0.0,0.0,100.0,,1.0,2.0,,75.0,0.8,0.8,75.0,125.8237,1.0,193564.7009,126.8244,1.0,1.0
76.0,134.909,136.059,0.0,0.0,0.0,100.0,,1.0,2.0,,76.0,0.8,0.8,76.0,127.3569,1.0,193565.859,127.9825,1.0,1.0
77.0,136.059,138.459,0.0,0.0,0.0,100.0,,1.0,2.0,,77.0,0.8,0.8,77.0,128.5068,0.0,193568.2589,130.3824,1.0,1.0
78.0,138.459,139.493,0.0,0.0,0.0,100.0,,1.0,2.0,,78.0,0.8,0.8,78.0,130.9066,0.0,193569.2838,131.4072,1.0,1.0
79.0,139.493,141.026,0.0,0.0,0.0,100.0,,1.0,2.0,,79.0,0.8,0.8,79.0,131.9399,0.0,193570.8171,132.9405,1.0,1.0
80.0,141.026,142.059,0.0,0.0,0.0,100.0,,1.0,2.0,,80.0,0.8,0.8,80.0,133.4732,0.0,193571.8503,133.9738,1.0,1.0
81.0,142.059,143.343,0.0,0.0,0.0,100.0,,1.0,2.0,,81.0,0.8,0.8,81.0,134.5063,0.0,193573.1335,135.257,1.0,1.0
