Trial number,Fixation Onset NEV,Image Onset NEV,Image Offset NEV,nothing,Fixation Onset NEV,Onset Choice Period,Response time NEV,Shade value NEV,Reaction time NEV,Trial onset,Trial offset,Nothing,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,694.79,695.424,711.966,1.0,694.79,695.424,,1.0,,694.79,711.966,1.0,3.25,1.25,1.0,0.64468,0.0,1598809.4857,1.27,,,,0.0,3.0,3.0
2.0,808.86,814.394,814.895,1.0,808.86,812.877,,1.0,,808.86,814.895,1.0,3.25,1.25,1.0,1.5164,1.0,1598928.3291,6.0427,5.28e-05,4.0257,-1.0,,4.0,3.0
3.0,816.178,821.711,822.212,1.0,816.178,820.194,,0.0,,816.178,822.212,2.0,2.25,3.5,2.0,1.5163,0.0,1598935.6457,13.3593,7.3094,11.3425,-1.0,,4.0,3.0
4.0,825.744,831.278,831.779,1.0,825.744,829.761,,1.0,,825.744,831.779,3.0,3.25,3.75,3.0,1.5162,1.0,1598945.2126,22.9262,16.8758,20.9095,-1.0,,4.0,3.0
5.0,835.561,841.095,841.596,1.0,835.561,839.578,,0.0,,835.561,841.596,4.0,2.75,1.0,4.0,1.516,0.0,1598955.0293,32.7429,26.6926,30.7264,-1.0,,4.0,3.0
6.0,842.628,848.162,848.665,1.0,842.628,846.645,,1.0,,842.628,848.665,5.0,3.5,3.75,5.0,1.5157,1.0,1598962.0973,39.8112,33.7598,37.7932,-1.0,,4.0,3.0
7.0,852.445,857.978,858.48,1.0,852.445,856.462,,0.0,,852.445,858.48,6.0,3.0,3.25,6.0,1.5164,0.0,1598971.9127,49.6263,43.5768,47.6096,-1.0,,4.0,3.0
8.0,861.762,867.295,867.797,1.0,861.762,865.779,,0.0,,861.762,867.797,7.0,3.0,2.0,7.0,1.5162,0.0,1598981.2295,58.9431,52.8933,56.9266,-1.0,,4.0,3.0
9.0,869.829,875.362,875.863,1.0,869.829,873.846,,1.0,,869.829,875.863,8.0,2.75,1.5,8.0,1.5163,1.0,1598989.2963,67.0099,60.9597,64.9933,-1.0,,4.0,3.0
10.0,877.396,882.929,883.43,1.0,877.396,881.412,,0.0,,877.396,883.43,9.0,3.0,1.0,9.0,1.5165,0.0,1598996.8632,74.5768,68.5267,72.56,-1.0,,4.0,3.0
11.0,884.463,889.996,890.497,1.0,884.463,888.479,,1.0,,884.463,890.497,10.0,1.75,1.0,10.0,1.5166,1.0,1599003.93,81.6435,75.5935,79.6266,-1.0,,4.0,3.0
12.0,891.53,897.063,897.564,1.0,891.53,895.546,,1.0,,891.53,897.564,11.0,1.25,3.25,11.0,1.5164,1.0,1599010.9968,88.7103,82.6602,86.6937,-1.0,,4.0,3.0
13.0,900.846,906.38,906.881,1.0,900.846,904.863,,1.0,,900.846,906.881,12.0,3.0,1.75,12.0,1.5163,1.0,1599020.3134,98.027,91.9768,96.0105,-1.0,,4.0,3.0
14.0,908.663,914.197,914.698,1.0,908.663,912.68,,0.0,,908.663,914.698,13.0,3.75,1.0,13.0,1.5165,0.0,1599028.1302,105.8437,99.7938,103.827,-1.0,,4.0,3.0
15.0,915.73,921.263,921.765,1.0,915.73,919.747,,0.0,,915.73,921.765,14.0,2.25,2.0,14.0,1.5165,0.0,1599035.1969,112.9105,106.8608,110.8938,-1.0,,4.0,3.0
16.0,923.797,929.33,929.832,1.0,923.797,927.814,,1.0,,923.797,929.832,15.0,3.25,3.25,15.0,1.5162,1.0,1599043.2637,120.9773,114.9274,118.9609,-1.0,,4.0,3.0
17.0,933.114,938.647,939.149,1.0,933.114,937.131,,0.0,,933.114,939.149,16.0,1.5,2.25,16.0,1.5162,0.0,1599052.5805,130.2941,124.2439,128.2776,-1.0,,4.0,3.0
18.0,941.431,946.964,947.465,1.0,941.431,945.448,,0.0,,941.431,947.465,17.0,2.25,2.75,17.0,1.5164,0.0,1599060.8973,138.6109,132.561,136.5943,-1.0,,4.0,3.0
19.0,950.248,955.781,956.282,1.0,950.248,954.265,,1.0,,950.248,956.282,18.0,3.0,3.25,18.0,1.5163,1.0,1599069.7142,147.4277,141.3779,145.4112,-1.0,,4.0,3.0
20.0,959.565,965.098,965.599,1.0,959.565,963.582,964.238,1.0,0.656,959.565,965.599,19.0,1.75,3.0,19.0,1.5163,1.0,1599079.0309,156.7445,150.6944,154.728,1598772.2459,,4.0,3.0
21.0,968.632,974.165,974.666,1.0,968.632,972.648,,0.0,,968.632,974.666,20.0,2.75,1.25,20.0,1.5164,0.0,1599088.0977,165.8113,159.7614,163.7946,-1.0,,4.0,3.0
22.0,975.949,981.482,981.983,1.0,975.949,979.965,980.349,0.0,0.384,975.949,981.983,21.0,1.25,2.25,21.0,1.5164,0.0,1599095.4145,173.1281,167.0783,171.1114,1598755.5897,,4.0,3.0
23.0,984.265,989.799,990.3,1.0,984.265,988.282,,0.0,,984.265,990.3,22.0,3.75,2.0,22.0,1.5163,0.0,1599103.7313,181.4449,175.3951,179.4283,-1.0,,4.0,3.0
24.0,992.332,997.866,998.367,1.0,992.332,996.349,,1.0,,992.332,998.367,23.0,2.75,1.5,23.0,1.5164,1.0,1599111.7982,189.5118,183.4616,187.4951,-1.0,,4.0,3.0
25.0,999.899,1005.432,1005.934,1.0,999.899,1003.916,,1.0,,999.899,1005.934,24.0,3.25,1.75,24.0,1.5164,1.0,1599119.3649,197.0784,191.0285,195.0618,-1.0,,4.0,3.0
26.0,1007.716,1013.249,1013.751,1.0,1007.716,1011.733,,0.0,,1007.716,1013.751,25.0,2.5,3.0,25.0,1.5165,0.0,1599127.1816,204.8952,198.8454,202.8784,-1.0,,4.0,3.0
27.0,1016.783,1022.316,1022.818,1.0,1016.783,1020.8,,1.0,,1016.783,1022.818,26.0,3.5,3.75,26.0,1.5163,1.0,1599136.2484,213.962,207.9118,211.9455,-1.0,,4.0,3.0
28.0,1026.6,1032.133,1032.635,1.0,1026.6,1030.617,,0.0,,1026.6,1032.635,27.0,2.5,1.25,27.0,1.5161,0.0,1599146.0652,223.7788,217.7287,221.7624,-1.0,,4.0,3.0
29.0,1033.917,1039.45,1039.951,1.0,1033.917,1037.933,,0.0,,1033.917,1039.951,28.0,1.25,1.75,28.0,1.5165,0.0,1599153.382,231.0956,225.0458,229.0789,-1.0,,4.0,3.0
30.0,1041.734,1047.267,1047.768,1.0,1041.734,1045.75,1046.134,1.0,0.384,1041.734,1047.768,29.0,3.5,1.75,29.0,1.5165,1.0,1599161.1988,238.9124,232.8626,236.8956,1598689.8058,,4.0,3.0
31.0,1049.551,,,1.0,1049.551,0.0,,0.0,,1049.551,,30.0,3.25,1.5,30.0,1.5163,0.0,1599169.0155,246.7291,240.679,244.7126,-1.0,,4.0,3.0
