Trial number,Fixation Onset NEV,Image Onset NEV,Image Offset NEV,nothing,Fixation Onset NEV,Onset Choice Period,Response time NEV,Shade value NEV,Reaction time NEV,Trial onset,Trial offset,Nothing,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,54.015,59.55,60.052,0.0,0.0,0.0,,0.0,,,,1.0,3.25,1.25,1.0,1.513,0.0,547936.3083,6.0614,9.3e-05,4.0447,-1.0,,1.0,3.0
2.0,61.331,66.864,67.366,0.0,0.0,0.0,,1.0,,61.331,67.366,2.0,2.25,3.5,2.0,1.5164,1.0,547943.6219,13.3749,7.3247,11.358,-1.0,,1.0,3.0
3.0,70.898,76.431,76.933,0.0,0.0,0.0,,1.0,,70.898,76.933,3.0,3.25,3.75,3.0,1.5164,1.0,547953.1888,22.9418,16.8914,20.9249,-1.0,,1.0,3.0
4.0,80.715,86.248,86.75,0.0,0.0,0.0,,1.0,,80.715,86.75,4.0,2.75,1.0,4.0,1.5164,1.0,547963.0054,32.7585,26.7092,30.7416,-1.0,,1.0,3.0
5.0,87.782,93.315,93.819,0.0,0.0,0.0,,1.0,,87.782,93.819,5.0,3.5,3.75,5.0,1.5159,1.0,547970.0734,39.8267,33.7752,37.8087,-1.0,,1.0,3.0
6.0,97.598,103.132,103.633,0.0,0.0,0.0,,1.0,,97.598,103.633,6.0,3.0,3.25,6.0,1.5164,1.0,547979.889,49.642,43.5921,47.6253,-1.0,,1.0,3.0
7.0,106.915,112.449,112.95,0.0,0.0,0.0,,0.0,,106.915,112.95,7.0,3.0,2.0,7.0,1.5165,0.0,547989.2056,58.9587,52.9085,56.9419,-1.0,,1.0,3.0
8.0,114.982,120.515,121.017,0.0,0.0,0.0,,1.0,,114.982,121.017,8.0,2.75,1.5,8.0,1.5165,1.0,547997.2724,67.0254,60.9753,65.0087,-1.0,,1.0,3.0
9.0,122.549,128.082,128.584,0.0,0.0,0.0,,0.0,,122.549,128.584,9.0,3.0,1.0,9.0,1.5165,0.0,548004.8392,74.5922,68.5423,72.5755,-1.0,,1.0,3.0
11.0,236.952,242.486,242.987,0.0,0.0,0.0,241.85,0.0,241.85,236.952,242.987,1.0,3.25,1.25,1.0,1.5161,0.0,548119.241,6.0543,3.87e-05,4.0377,548114.064,,2.0,3.0
12.0,244.269,249.802,250.304,0.0,0.0,0.0,248.984,1.0,248.984,244.269,250.304,2.0,2.25,3.5,2.0,1.5164,1.0,548126.5577,13.371,7.3208,11.3542,548106.5628,,2.0,3.0
