Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,47.751,48.568,48.551,1.0,48.551,48.568,,1.0,,,,1.0,3.25,1.25,1.0,0.0093087,0.0,158428.7178,0.81014,,,,,1.0,2.0
2.0,48.568,49.384,49.368,1.0,49.368,49.384,,1.0,,,,2.0,2.25,3.5,2.0,0.82604,0.0,158429.5345,1.6268,,,,,1.0,2.0
3.0,49.384,50.201,50.185,1.0,50.185,50.201,,1.0,,,,3.0,3.25,3.75,3.0,1.6427,0.0,158430.3511,2.4435,,,,,1.0,2.0
4.0,50.201,51.018,51.001,1.0,51.001,51.018,,1.0,,,,4.0,2.75,1.0,4.0,2.4593,1.0,158431.1675,3.2599,,,,,1.0,2.0
5.0,51.018,51.834,51.819,1.0,51.819,51.834,,1.0,,,,5.0,3.5,3.75,5.0,3.2761,0.0,158431.9859,4.0785,,,,,1.0,2.0
6.0,51.834,52.651,52.635,1.0,52.635,52.651,,1.0,,,,6.0,3.0,3.25,6.0,4.0926,1.0,158432.8007,4.893,,,,,1.0,2.0
7.0,52.651,53.468,53.451,1.0,53.451,53.468,,1.0,,,,7.0,3.0,2.0,7.0,4.9093,1.0,158433.6173,5.7097,,,,,1.0,2.0
8.0,53.468,54.285,54.268,1.0,54.268,54.285,,1.0,,,,8.0,2.75,1.5,8.0,5.726,1.0,158434.4341,6.5264,,,,,1.0,2.0
9.0,54.285,55.101,55.085,1.0,55.085,55.101,,1.0,,,,9.0,3.0,1.0,9.0,6.5429,0.0,158435.2509,7.3433,,,,,1.0,2.0
10.0,55.101,55.918,55.901,1.0,55.901,55.918,,1.0,,,,10.0,1.75,1.0,10.0,7.3593,1.0,158436.0673,8.1597,,,,,1.0,2.0
11.0,55.918,56.734,56.718,1.0,56.718,56.734,,1.0,,,,11.0,1.25,3.25,11.0,8.1762,0.0,158436.8842,8.9766,,,,,1.0,2.0
12.0,56.734,57.551,57.535,1.0,57.535,57.551,,1.0,,,,12.0,3.0,1.75,12.0,8.9927,1.0,158437.7007,9.793,,,,,1.0,2.0
13.0,57.551,58.368,58.352,1.0,58.352,58.368,,1.0,,,,13.0,3.75,1.0,13.0,9.8096,0.0,158438.5177,10.61,,,,,1.0,2.0
14.0,58.368,59.184,59.168,1.0,59.168,59.184,,1.0,,,,14.0,2.25,2.0,14.0,10.626,0.0,158439.3341,11.4264,,,,,1.0,2.0
15.0,59.184,60.001,59.985,1.0,59.985,60.001,,1.0,,,,15.0,3.25,3.25,15.0,11.4427,0.0,158440.1508,12.2431,,,,,1.0,2.0
16.0,60.001,60.818,60.801,1.0,60.801,60.818,,1.0,,,,16.0,1.5,2.25,16.0,12.2593,0.0,158440.9674,13.0597,,,,,1.0,2.0
