Trial number,Fixation Onset NEV,Image Onset NEV,Image Offset NEV,nothing,Fixation Onset NEV,Onset Choice Period,Response time NEV,Shade value NEV,Reaction time NEV,Trial onset,Trial offset,Nothing,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,1725.7138671875,1731.2216796875,1725.71484375,0.0,0.0,0.0,,1.0,,1725.7138671875,1731.7255859375,1.0,3.25,1.25,1.0,1.5038,1.0,11288.4202,6.0162,5.72e-05,4.0114,-1.0,,3.0,3.0
2.0,1732.98046875,1738.48828125,1732.9814453125,0.0,0.0,0.0,,1.0,,1732.98046875,1738.990234375,2.0,2.25,3.5,2.0,1.5034,1.0,11295.6857,13.2817,7.2697,11.2775,-1.0,,3.0,3.0
3.0,1742.4951171875,1748.00390625,1742.49609375,0.0,0.0,0.0,,1.0,,1742.4951171875,1748.505859375,3.0,3.25,3.75,3.0,1.5037,1.0,11305.2013,22.7973,16.7851,20.7927,-1.0,,3.0,3.0
4.0,1752.26171875,,1752.2626953125,0.0,0.0,0.0,,0.0,,1752.26171875,1758.271484375,4.0,2.75,1.0,4.0,1.5037,0.0,11314.9675,32.5635,26.5509,30.559,-1.0,,3.0,3.0
5.0,1759.28125,1764.7919921875,,0.0,0.0,0.0,1764.5517578125,0.0,1764.5517578125,1759.28125,1765.2958984375,5.0,3.5,3.75,5.0,1.5053,0.0,11321.9904,39.5867,33.567,37.5784,11250.0795,,3.0,3.0
6.0,1769.0517578125,1774.55859375,1769.052734375,0.0,0.0,0.0,1773.537109375,1.0,1773.537109375,1769.0517578125,1775.0615234375,6.0,3.0,3.25,6.0,1.5033,1.0,11331.7564,49.3523,43.3419,47.3486,11239.542,,3.0,3.0
7.0,1778.3173828125,1783.8232421875,1778.318359375,0.0,0.0,0.0,1783.369140625,0.0,1783.369140625,1778.3173828125,1784.3251953125,7.0,3.0,2.0,7.0,1.5032,0.0,11341.0215,58.6174,52.607,56.6138,11230.8442,,3.0,3.0
8.0,1786.330078125,1791.8388671875,1786.3310546875,0.0,0.0,0.0,1790.96875,0.0,1790.96875,1786.330078125,1792.33984375,8.0,2.75,1.5,8.0,1.5034,0.0,11349.0355,66.6314,60.6204,64.6276,11222.4088,,3.0,3.0
9.0,1793.84375,1799.3525390625,1793.8447265625,0.0,0.0,0.0,1798.37890625,0.0,1798.37890625,1793.84375,1799.853515625,9.0,3.0,1.0,9.0,1.5036,0.0,11356.5496,74.1456,68.1345,72.1415,11214.7968,,3.0,3.0
10.0,1800.8583984375,1806.3662109375,1800.859375,0.0,0.0,0.0,1805.4248046875,0.0,1805.4248046875,1800.8583984375,1806.8671875,10.0,1.75,1.0,10.0,1.5038,0.0,11363.5635,81.1594,75.1486,79.1552,11207.8172,,3.0,3.0
