Trial number,Fixation Onset NEV,Image Onset NEV,Image Offset NEV,nothing,Fixation Onset NEV,Onset Choice Period,Response time NEV,Shade value NEV,Reaction time NEV,Trial onset,Trial offset,Nothing,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,788.524,794.063,794.566,1.0,788.524,792.545,,0.0,,788.524,794.566,,1.0,3.25,1.25,1.0,1.5176,0.0,181731.1438,6.0713,0.00026592,4.0521,-1.0,4.0,3.0
2.0,795.849,801.387,801.89,1.0,795.849,799.869,,0.0,,795.849,801.89,,2.0,2.25,3.5,2.0,1.5177,0.0,181738.4673,13.3948,7.3379,11.376,-1.0,4.0,3.0
3.0,805.424,810.947,811.451,1.0,805.424,809.428,809.767,0.0,0.339,805.424,811.451,0.339,3.0,3.25,3.75,3.0,1.5177,0.0,181748.0272,22.9548,16.9116,20.9355,181708.496,4.0,3.0
4.0,815.234,820.757,821.259,1.0,815.234,819.238,820.477,1.0,1.239,815.234,821.259,1.239,4.0,2.75,1.0,4.0,1.5178,1.0,181757.8365,32.764,26.7211,30.7452,181699.5887,4.0,3.0
5.0,822.293,827.831,828.336,1.0,822.293,826.314,827.318,1.0,1.004,822.293,828.336,1.004,5.0,3.5,3.75,5.0,1.5151,1.0,181764.9129,39.8406,33.7817,37.8208,181692.2935,4.0,3.0
6.0,832.118,837.64,838.142,1.0,832.118,836.122,837.251,1.0,1.129,832.118,838.142,1.129,6.0,3.0,3.25,6.0,1.5179,1.0,181774.7199,49.6473,43.6055,47.6285,181682.5892,4.0,3.0
7.0,841.427,846.966,847.468,1.0,841.427,845.448,845.936,1.0,0.488,841.427,847.468,0.488,7.0,3.0,2.0,7.0,1.5179,1.0,181784.0459,58.9733,52.9144,56.9546,181672.6418,4.0,3.0
8.0,849.502,855.024,855.526,1.0,849.502,853.506,854.02,0.0,0.514,849.502,855.526,0.514,8.0,2.75,1.5,8.0,1.5177,0.0,181792.1036,67.031,60.9903,65.0128,181664.5961,4.0,3.0
9.0,857.059,862.582,863.084,1.0,857.059,861.063,861.924,0.0,0.861,857.059,863.084,0.861,9.0,3.0,1.0,9.0,1.5179,0.0,181799.6614,74.5889,68.5483,72.5701,181657.3844,4.0,3.0
10.0,864.117,869.639,870.141,1.0,864.117,868.12,868.781,0.0,0.661,864.117,870.141,0.661,10.0,1.75,1.0,10.0,1.5181,0.0,181806.7185,81.646,75.6056,79.627,181650.1266,4.0,3.0
11.0,871.174,876.696,877.198,1.0,871.174,875.178,875.732,0.0,0.554,871.174,877.198,0.554,11.0,1.25,3.25,11.0,1.5178,0.0,181813.7755,88.703,82.6626,86.6843,181642.9642,4.0,3.0
12.0,880.483,886.022,886.524,1.0,880.483,884.504,885.116,1.0,0.612,880.483,886.524,0.612,12.0,3.0,1.75,12.0,1.5175,1.0,181823.1015,98.029,91.9699,96.0106,181633.7147,4.0,3.0
13.0,888.308,893.829,894.331,1.0,888.308,892.311,892.86,0.0,0.549,888.308,894.331,0.549,13.0,3.75,1.0,13.0,1.5178,0.0,181830.9089,105.8364,99.7957,103.818,181625.8253,4.0,3.0
14.0,895.365,900.887,901.389,1.0,895.365,899.369,900.029,1.0,0.66,895.365,901.389,0.66,14.0,2.25,2.0,14.0,1.5178,1.0,181837.9663,112.8938,106.8535,110.8751,181618.8786,4.0,3.0
15.0,903.423,908.945,909.447,1.0,903.423,907.427,907.908,0.0,0.481,903.423,909.447,0.481,15.0,3.25,3.25,15.0,1.5178,0.0,181846.0243,120.9518,114.9105,118.9332,181610.6434,4.0,3.0
16.0,912.732,918.254,918.756,1.0,912.732,916.736,917.309,1.0,0.573,912.732,918.756,0.573,16.0,1.5,2.25,16.0,1.5181,1.0,181855.3336,130.261,124.2187,128.2421,181601.4257,4.0,3.0
17.0,921.04,926.562,927.065,1.0,921.04,925.044,925.557,0.0,0.513,921.04,927.065,0.513,17.0,2.25,2.75,17.0,1.5178,0.0,181863.6419,138.5694,132.528,136.5507,181593.056,4.0,3.0
18.0,929.849,935.388,935.89,1.0,929.849,933.87,934.437,1.0,0.567,929.849,935.89,0.567,18.0,3.0,3.25,18.0,1.5178,1.0,181872.4674,147.3949,141.3363,145.3761,181584.3025,4.0,3.0
19.0,939.158,944.681,945.183,1.0,939.158,943.162,944.125,1.0,0.963,939.158,945.183,0.963,19.0,1.75,3.0,19.0,1.518,1.0,181881.76,156.6875,150.6617,154.6686,181575.3722,4.0,3.0
20.0,948.218,953.74,954.242,1.0,948.218,952.222,952.781,1.0,0.559,948.218,954.242,0.559,20.0,2.75,1.25,20.0,1.5177,1.0,181890.8191,165.7465,159.7044,163.7278,181565.9267,4.0,3.0
21.0,955.525,961.047,961.55,1.0,955.525,959.529,960.117,1.0,0.588,955.525,961.55,0.588,21.0,1.25,2.25,21.0,1.5178,1.0,181898.1264,173.0539,167.0131,171.0351,181558.6468,4.0,3.0
22.0,963.833,969.355,969.858,1.0,963.833,967.837,968.341,0.0,0.504,963.833,969.858,0.504,22.0,3.75,2.0,22.0,1.5179,0.0,181906.4347,181.3622,175.3205,179.3433,181550.2549,4.0,3.0
23.0,971.891,977.413,977.916,1.0,971.891,975.895,976.558,0.0,0.663,971.891,977.916,0.663,23.0,2.75,1.5,23.0,1.5179,0.0,181914.4927,189.4202,183.3789,187.4013,181542.3557,4.0,3.0
24.0,979.449,984.971,985.474,1.0,979.449,983.453,983.806,0.0,0.353,979.449,985.474,0.353,24.0,3.25,1.75,24.0,1.518,0.0,181922.0502,196.9777,190.9368,194.9588,181534.4883,4.0,3.0
25.0,987.257,992.779,993.282,1.0,987.257,991.261,992.005,1.0,0.744,987.257,993.282,0.744,25.0,2.5,3.0,25.0,1.5179,1.0,181929.8582,204.7856,198.7446,202.7667,181527.0716,4.0,3.0
26.0,996.316,1001.838,1002.341,1.0,996.316,1000.32,1000.893,1.0,0.573,996.316,1002.341,0.573,26.0,3.5,3.75,26.0,1.5177,1.0,181938.9171,213.8445,207.8025,211.8258,181517.8426,4.0,3.0
27.0,1006.109,1011.631,1012.133,1.0,1006.109,1010.113,1010.509,1.0,0.396,1006.109,1012.133,0.396,27.0,2.5,1.25,27.0,1.5177,1.0,181948.7101,223.6376,217.6113,221.6189,181507.8562,4.0,3.0
28.0,1013.416,1018.955,1019.458,1.0,1013.416,1017.437,1018.341,0.0,0.904,1013.416,1019.458,0.904,28.0,1.25,1.75,28.0,1.5179,0.0,181956.0342,230.9617,224.9042,228.9428,181501.072,4.0,3.0
29.0,1021.241,1026.763,1027.266,1.0,1021.241,1025.245,1026.125,0.0,0.88,1021.241,1027.266,0.88,29.0,3.5,1.75,29.0,1.518,0.0,181963.8418,238.7693,232.7284,236.7506,181493.2235,4.0,3.0
30.0,1029.049,,,1.0,1029.049,0.0,,0.0,,1029.049,,,30.0,3.25,1.5,30.0,1.5178,0.0,181971.6662,246.5936,240.5361,244.5752,181485.1203,4.0,3.0
