Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,TrialTypeDesignation
1.0,25.77,26.587,0.0,0.0,0.0,100.0,,1.0,2.0,,1.0,0.8,0.8,1.0,0.0095761,0.0,193278.8875,0.81052,1.0,2.0
2.0,26.587,27.404,0.0,0.0,0.0,100.0,,1.0,2.0,,2.0,0.8,0.8,2.0,0.82615,0.0,193279.704,1.627,1.0,2.0
3.0,27.404,28.22,0.0,0.0,0.0,100.0,,1.0,2.0,,3.0,0.8,0.8,3.0,1.6428,0.0,193280.5207,2.4437,1.0,2.0
4.0,28.22,29.037,0.0,0.0,0.0,100.0,,1.0,2.0,,4.0,0.8,0.8,4.0,2.4594,1.0,193281.3373,3.2603,1.0,2.0
5.0,29.037,29.854,0.0,0.0,0.0,100.0,,1.0,2.0,,5.0,0.8,0.8,5.0,3.2759,0.0,193282.1538,4.0768,1.0,2.0
6.0,29.854,30.67,0.0,0.0,0.0,100.0,,1.0,2.0,,6.0,0.8,0.8,6.0,4.0927,1.0,193282.9705,4.8936,1.0,2.0
7.0,30.67,31.487,0.0,0.0,0.0,100.0,,1.0,2.0,,7.0,0.8,0.8,7.0,4.9093,1.0,193283.7871,5.7101,1.0,2.0
8.0,31.487,32.304,0.0,0.0,0.0,100.0,,1.0,2.0,,8.0,0.8,0.8,8.0,5.7258,1.0,193284.6037,6.5267,1.0,2.0
9.0,32.304,33.12,0.0,0.0,0.0,100.0,,1.0,2.0,,9.0,0.8,0.8,9.0,6.5425,0.0,193285.4204,7.3434,1.0,2.0
10.0,33.12,33.937,0.0,0.0,0.0,100.0,,1.0,2.0,,10.0,0.8,0.8,10.0,7.3592,1.0,193286.237,8.16,1.0,2.0
11.0,33.937,34.753,0.0,0.0,0.0,100.0,,1.0,2.0,,11.0,0.8,0.8,11.0,8.1757,0.0,193287.0536,8.9766,1.0,2.0
12.0,34.753,35.57,0.0,0.0,0.0,100.0,,1.0,2.0,,12.0,0.8,0.8,12.0,8.9924,1.0,193287.8703,9.7933,1.0,2.0
13.0,35.57,36.387,0.0,0.0,0.0,100.0,,1.0,2.0,,13.0,0.8,0.8,13.0,9.809,0.0,193288.6868,10.6098,1.0,2.0
14.0,36.387,37.204,0.0,0.0,0.0,100.0,,1.0,2.0,,14.0,0.8,0.8,14.0,10.6255,0.0,193289.5034,11.4264,1.0,2.0
15.0,37.204,38.02,0.0,0.0,0.0,100.0,,1.0,2.0,,15.0,0.8,0.8,15.0,11.4423,0.0,193290.3201,12.2431,1.0,2.0
16.0,38.02,38.837,0.0,0.0,0.0,100.0,,1.0,2.0,,16.0,0.8,0.8,16.0,12.2588,0.0,193291.1367,13.0597,1.0,2.0
17.0,38.837,39.653,0.0,0.0,0.0,100.0,,1.0,2.0,,17.0,0.8,0.8,17.0,13.0754,0.0,193291.9533,13.8763,1.0,2.0
