Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
4.0,1064.342,1064.342,1064.992,0.0,0.0,0.0,,0.0,,1064.342,1064.992,1.0,3.25,1.25,1.0,0.65413,0.0,371698.9345,1.2832,,,,0.0,1.0,4.0
5.0,1066.756,1066.756,1068.522,0.0,0.0,0.0,,1.0,,1066.756,1068.522,2.0,2.25,3.5,2.0,3.0709,1.0,371702.4729,4.8215,,,,1.0,1.0,4.0
6.0,1070.406,1070.406,1072.289,0.0,0.0,0.0,,0.0,,1070.406,1072.289,3.0,3.25,3.75,3.0,6.7209,0.0,371706.2477,8.5964,,,,1.0,1.0,4.0
7.0,1072.806,1072.806,1073.323,0.0,0.0,0.0,,1.0,,1072.806,1073.323,4.0,2.75,1.0,4.0,9.1209,1.0,371707.2728,9.6215,,,,0.0,1.0,4.0
8.0,1075.206,1075.206,1077.089,0.0,0.0,0.0,,0.0,,1075.206,1077.089,5.0,3.5,3.75,5.0,11.5211,0.0,371711.0496,13.3985,,,,1.0,1.0,4.0
9.0,1078.723,1078.723,1080.356,0.0,0.0,0.0,,1.0,,1078.723,1080.356,6.0,3.0,3.25,6.0,15.0382,1.0,371714.3149,16.6635,,,,1.0,1.0,4.0
10.0,1081.373,1081.373,1082.389,0.0,0.0,0.0,,1.0,,1081.373,1082.389,7.0,3.0,2.0,7.0,17.688,1.0,371716.3397,18.6884,,,,0.0,1.0,4.0
11.0,1083.156,1083.156,1083.923,0.0,0.0,0.0,,1.0,,1083.156,1083.923,8.0,2.75,1.5,8.0,19.4711,1.0,371717.8727,20.2213,,,,0.0,1.0,4.0
12.0,1084.439,1084.439,1084.956,0.0,0.0,0.0,,0.0,,1084.439,1084.956,9.0,3.0,1.0,9.0,20.7544,0.0,371718.906,21.2547,,,,0.0,1.0,4.0
13.0,1085.473,1085.473,1085.989,0.0,0.0,0.0,,1.0,,1085.473,1085.989,10.0,1.75,1.0,10.0,21.7878,1.0,371719.9394,22.2881,,,,0.0,1.0,4.0
14.0,1087.623,1087.623,1089.256,0.0,0.0,0.0,,0.0,,1087.623,1089.256,11.0,1.25,3.25,11.0,23.9378,0.0,371723.2145,25.5631,,,,1.0,1.0,4.0
15.0,1090.14,1090.14,1091.023,0.0,0.0,0.0,,1.0,,1090.14,1091.023,12.0,3.0,1.75,12.0,26.4548,1.0,371724.9814,27.33,,,,1.0,1.0,4.0
16.0,1091.54,1091.54,1092.056,0.0,0.0,0.0,,1.0,,1091.54,1092.056,13.0,3.75,1.0,13.0,27.8545,1.0,371726.0062,28.3549,,,,0.0,1.0,4.0
17.0,1093.073,1093.073,1094.09,0.0,0.0,0.0,,1.0,,1093.073,1094.09,14.0,2.25,2.0,14.0,29.3879,1.0,371728.0395,30.3882,,,,1.0,1.0,4.0
18.0,1095.723,1095.723,1097.356,0.0,0.0,0.0,,0.0,,1095.723,1097.356,15.0,3.25,3.25,15.0,32.0379,0.0,371731.3145,33.6632,,,,0.0,1.0,4.0
19.0,1098.49,1098.49,1099.623,0.0,0.0,0.0,,1.0,,1098.49,1099.623,16.0,1.5,2.25,16.0,34.8046,1.0,371733.5813,35.9299,,,,0.0,1.0,4.0
20.0,1101.007,1101.007,1102.39,0.0,0.0,0.0,,0.0,,1101.007,1102.39,17.0,2.25,2.75,17.0,37.3216,0.0,371736.3482,38.6969,,,,0.0,1.0,4.0
21.0,1104.023,1104.023,1105.657,0.0,0.0,0.0,,1.0,,1104.023,1105.657,18.0,3.0,3.25,18.0,40.338,1.0,371739.6147,41.9634,,,,0.0,1.0,4.0
22.0,1107.173,1107.173,1108.69,0.0,0.0,0.0,,0.0,,1107.173,1108.69,19.0,1.75,3.0,19.0,43.4881,0.0,371742.6397,44.9884,,,,1.0,1.0,4.0
23.0,1109.323,1109.323,1109.957,0.0,0.0,0.0,,1.0,,1109.323,1109.957,20.0,2.75,1.25,20.0,45.6381,1.0,371743.9148,46.2634,,,,1.0,1.0,4.0
24.0,1111.09,1111.09,1112.223,0.0,0.0,0.0,,1.0,,1111.09,1112.223,21.0,1.25,2.25,21.0,47.4048,1.0,371746.1815,48.5302,,,,1.0,1.0,4.0
25.0,1113.24,1113.24,1114.257,0.0,0.0,0.0,,0.0,,1113.24,1114.257,22.0,3.75,2.0,22.0,49.5551,0.0,371748.2068,50.5555,,,,0.0,1.0,4.0
