Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,848.723,854.263,854.766,1.0,848.723,852.744,,0.0,,848.723,854.766,1.0,3.25,1.25,1.0,1.5175,1.0,251303.5011,6.0655,0.00065562,4.0451,-1.0,1.0,3.0
2.0,856.047,861.569,862.071,1.0,856.047,860.051,,0.0,,856.047,862.071,2.0,2.25,3.5,2.0,1.5177,0.0,251310.8069,13.3712,7.3308,11.3522,-1.0,1.0,3.0
3.0,865.607,871.129,871.631,1.0,865.607,869.61,,0.0,,865.607,871.631,3.0,3.25,3.75,3.0,1.518,0.0,251320.3665,22.9308,16.888,20.9116,-1.0,1.0,3.0
4.0,875.417,880.955,881.456,1.0,875.417,879.438,,0.0,,875.417,881.456,4.0,2.75,1.0,4.0,1.5171,1.0,251330.1925,32.7568,26.6973,30.7388,-1.0,1.0,3.0
5.0,882.491,888.03,888.534,1.0,882.491,886.512,,0.0,,882.491,888.534,5.0,3.5,3.75,5.0,1.5155,1.0,251337.269,39.8335,33.775,37.8135,-1.0,1.0,3.0
6.0,892.317,897.839,898.34,1.0,892.317,896.32,896.864,0.0,0.544,892.317,898.34,6.0,3.0,3.25,6.0,1.518,1.0,251347.0761,49.6403,43.5985,47.6214,251254.3783,1.0,3.0
7.0,901.609,907.131,907.632,1.0,901.609,905.613,906.2,0.0,0.587,901.609,907.632,7.0,3.0,2.0,7.0,1.518,0.0,251356.3684,58.9326,52.907,56.9141,251245.1131,1.0,3.0
8.0,909.667,915.19,915.691,1.0,909.667,913.671,914.535,0.0,0.864,909.667,915.691,8.0,2.75,1.5,8.0,1.518,0.0,251364.4267,66.991,60.95,64.972,251237.3483,1.0,3.0
9.0,917.225,922.764,923.265,1.0,917.225,921.246,922.168,0.0,0.922,917.225,923.265,9.0,3.0,1.0,9.0,1.518,0.0,251372.0009,74.5652,68.5082,72.5463,251229.8489,1.0,3.0
10.0,924.299,929.821,930.322,1.0,924.299,928.303,929.05,0.0,0.747,924.299,930.322,10.0,1.75,1.0,10.0,1.5178,1.0,251379.0579,81.6222,75.5825,79.6035,251222.5974,1.0,3.0
11.0,931.356,936.878,937.38,1.0,931.356,935.36,936.055,0.0,0.695,931.356,937.38,11.0,1.25,3.25,11.0,1.5179,0.0,251386.1151,88.6794,82.6392,86.6606,251215.4915,1.0,3.0
12.0,940.665,946.187,946.689,1.0,940.665,944.669,945.047,0.0,0.378,940.665,946.689,12.0,3.0,1.75,12.0,1.518,1.0,251395.4242,97.9885,91.9464,95.9697,251205.8661,1.0,3.0
13.0,948.473,953.995,954.496,1.0,948.473,952.477,952.919,0.0,0.442,948.473,954.496,13.0,3.75,1.0,13.0,1.5178,1.0,251403.2318,105.7961,99.7552,103.7777,251198.1217,1.0,3.0
14.0,955.53,961.052,961.554,1.0,955.53,959.534,960.071,0.0,0.537,955.53,961.554,14.0,2.25,2.0,14.0,1.5179,1.0,251410.289,112.8533,106.8132,110.8345,251191.1584,1.0,3.0
15.0,963.589,969.11,969.611,1.0,963.589,967.592,967.991,0.0,0.399,963.589,969.611,15.0,3.25,3.25,15.0,1.5181,1.0,251418.347,120.9113,114.8705,118.8925,251182.9642,1.0,3.0
16.0,972.881,978.403,978.905,1.0,972.881,976.885,978.023,0.0,1.138,972.881,978.905,16.0,1.5,2.25,16.0,1.5179,0.0,251427.6397,130.204,124.1783,128.1852,251174.3954,1.0,3.0
17.0,981.189,986.711,987.213,1.0,981.189,985.193,985.543,0.0,0.35,981.189,987.213,17.0,2.25,2.75,17.0,1.5178,1.0,251435.948,138.5123,132.471,136.4936,251165.3139,1.0,3.0
18.0,989.998,995.537,996.038,1.0,989.998,994.019,994.591,0.0,0.572,989.998,996.038,18.0,3.0,3.25,18.0,1.5179,0.0,251444.7733,147.3375,141.2792,145.319,251156.7284,1.0,3.0
19.0,999.324,,,0.0,0.0,0.0,,0.0,,,,19.0,1.75,3.0,19.0,1.5179,1.0,251454.0828,156.6471,150.6047,154.6282,251147.1978,1.0,3.0
