Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,15.926,16.559,,1.0,15.926,16.559,,0.0,,15.926,16.559,1.0,3.25,1.25,1.0,0.64998,0.0,698714.7869,1.2763,,,,0.0,1.0,4.0
2.0,17.21,18.977,17.21,1.0,17.21,18.977,,0.0,,17.21,18.977,2.0,2.25,3.5,2.0,3.0667,0.0,698718.3314,4.8209,,,,1.0,1.0,4.0
3.0,20.742,22.626,20.742,1.0,20.742,22.626,,1.0,,20.742,22.626,3.0,3.25,3.75,3.0,6.7167,1.0,698722.1031,8.5923,,,,0.0,1.0,4.0
4.0,24.509,25.026,24.509,1.0,24.509,25.026,,0.0,,24.509,25.026,4.0,2.75,1.0,4.0,9.1167,0.0,698723.128,9.6173,,,,0.0,1.0,4.0
5.0,25.543,27.426,25.543,1.0,25.543,27.426,,0.0,,25.543,27.426,5.0,3.5,3.75,5.0,11.5169,0.0,698726.9032,13.3925,,,,1.0,1.0,4.0
6.0,29.309,30.943,29.309,1.0,29.309,30.943,,0.0,,29.309,30.943,6.0,3.0,3.25,6.0,15.0335,0.0,698730.1699,16.6592,,,,0.0,1.0,4.0
7.0,32.576,33.593,32.576,1.0,32.576,33.593,,1.0,,32.576,33.593,7.0,3.0,2.0,7.0,17.6834,1.0,698732.1948,18.684,,,,1.0,1.0,4.0
8.0,34.61,35.376,34.61,1.0,34.61,35.376,,0.0,,34.61,35.376,8.0,2.75,1.5,8.0,19.4668,0.0,698733.7281,20.2174,,,,1.0,1.0,4.0
9.0,36.143,36.66,36.143,1.0,36.143,36.66,,1.0,,36.143,36.66,9.0,3.0,1.0,9.0,20.7501,1.0,698734.7615,21.2507,,,,1.0,1.0,4.0
10.0,37.176,37.693,37.176,1.0,37.176,37.693,,0.0,,37.176,37.693,10.0,1.75,1.0,10.0,21.7835,0.0,698735.7948,22.2841,,,,0.0,1.0,4.0
11.0,38.21,39.843,38.21,1.0,38.21,39.843,,0.0,,38.21,39.843,11.0,1.25,3.25,11.0,23.9338,0.0,698739.0701,25.5594,,,,0.0,1.0,4.0
12.0,41.476,42.36,41.476,1.0,41.476,42.36,,1.0,,41.476,42.36,12.0,3.0,1.75,12.0,26.4501,1.0,698740.8364,27.3257,,,,1.0,1.0,4.0
13.0,43.243,43.76,43.243,1.0,43.243,43.76,,1.0,,43.243,43.76,13.0,3.75,1.0,13.0,27.8502,1.0,698741.8615,28.3508,,,,0.0,1.0,4.0
14.0,44.276,45.293,44.276,1.0,44.276,45.293,,0.0,,44.276,45.293,14.0,2.25,2.0,14.0,29.3838,0.0,698743.8952,30.3844,,,,0.0,1.0,4.0
15.0,46.31,47.943,46.31,1.0,46.31,47.943,,0.0,,46.31,47.943,15.0,3.25,3.25,15.0,32.0336,0.0,698747.17,33.6593,,,,0.0,1.0,4.0
