Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,73.164,78.698,79.198,1.0,73.164,77.181,,0.0,,73.164,79.198,1.0,3.25,1.25,1.0,1.5164,0.0,373115.0434,6.0559,4.5e-05,4.0389,-1.0,,1.0,3.0
2.0,80.481,86.015,86.515,1.0,80.481,84.498,,0.0,,80.481,86.515,2.0,2.25,3.5,2.0,1.5165,0.0,373122.3602,13.3726,7.3223,11.3557,-1.0,,1.0,3.0
3.0,90.048,95.582,96.082,1.0,90.048,94.065,,0.0,,90.048,96.082,3.0,3.25,3.75,3.0,1.5164,0.0,373131.9271,22.9395,16.8893,20.9225,-1.0,,1.0,3.0
4.0,99.865,105.399,105.899,1.0,99.865,103.882,,0.0,,99.865,105.899,4.0,2.75,1.0,4.0,1.5162,0.0,373141.7438,32.7562,26.7059,30.7396,-1.0,,1.0,3.0
5.0,106.932,112.466,112.969,1.0,106.932,110.949,,1.0,,106.932,112.969,5.0,3.5,3.75,5.0,1.5159,1.0,373148.8118,39.8245,33.7728,37.8064,-1.0,,1.0,3.0
6.0,116.749,122.282,122.783,1.0,116.749,120.766,,1.0,,116.749,122.783,6.0,3.0,3.25,6.0,1.5165,1.0,373158.6272,49.6396,43.5902,47.6228,-1.0,,1.0,3.0
7.0,126.066,131.599,132.1,1.0,126.066,130.083,,1.0,,126.066,132.1,7.0,3.0,2.0,7.0,1.5165,1.0,373167.944,58.9564,52.9062,56.9396,-1.0,,1.0,3.0
8.0,134.133,139.666,140.167,1.0,134.133,138.15,,1.0,,134.133,140.167,8.0,2.75,1.5,8.0,1.5165,1.0,373176.0108,67.0232,60.973,65.0064,-1.0,,1.0,3.0
9.0,141.7,147.233,147.733,1.0,141.7,145.716,,0.0,,141.7,147.733,9.0,3.0,1.0,9.0,1.5165,0.0,373183.5775,74.5899,68.5398,72.5732,-1.0,,1.0,3.0
10.0,148.766,154.3,154.8,1.0,148.766,152.783,,0.0,,148.766,154.8,10.0,1.75,1.0,10.0,1.5165,0.0,373190.6443,81.6567,75.6065,79.6399,-1.0,,1.0,3.0
11.0,155.833,161.367,161.867,1.0,155.833,159.85,,0.0,,155.833,161.867,11.0,1.25,3.25,11.0,1.5165,0.0,373197.7111,88.7235,82.6733,86.7067,-1.0,,1.0,3.0
12.0,165.15,170.684,171.184,1.0,165.15,169.167,,0.0,,165.15,171.184,12.0,3.0,1.75,12.0,1.5165,0.0,373207.0279,98.0403,91.9901,96.0236,-1.0,,1.0,3.0
13.0,172.967,178.501,179.001,1.0,172.967,176.984,,0.0,,172.967,179.001,13.0,3.75,1.0,13.0,1.5165,0.0,373214.8447,105.8571,99.8069,103.8403,-1.0,,1.0,3.0
14.0,180.034,185.567,186.068,1.0,180.034,184.051,,1.0,,180.034,186.068,14.0,2.25,2.0,14.0,1.5165,1.0,373221.9114,112.9238,106.8736,110.9071,-1.0,,1.0,3.0
15.0,188.101,193.634,194.135,1.0,188.101,192.118,,1.0,,188.101,194.135,15.0,3.25,3.25,15.0,1.5165,1.0,373229.9782,120.9906,114.9405,118.9738,-1.0,,1.0,3.0
16.0,197.418,202.951,203.452,1.0,197.418,201.435,,1.0,,197.418,203.452,16.0,1.5,2.25,16.0,1.5165,1.0,373239.295,130.3075,124.2573,128.2906,-1.0,,1.0,3.0
17.0,205.735,211.268,211.769,1.0,205.735,209.752,,0.0,,205.735,211.769,17.0,2.25,2.75,17.0,1.5166,0.0,373247.6118,138.6242,132.574,136.6074,-1.0,,1.0,3.0
18.0,214.552,220.085,220.586,1.0,214.552,218.568,,0.0,,214.552,220.586,18.0,3.0,3.25,18.0,1.5165,0.0,373256.4286,147.441,141.3908,145.4242,-1.0,,1.0,3.0
19.0,223.869,229.402,229.902,1.0,223.869,227.886,,1.0,,223.869,229.902,19.0,1.75,3.0,19.0,1.5163,1.0,373265.7454,156.7579,150.7076,154.7413,-1.0,,1.0,3.0
20.0,232.936,238.469,238.969,1.0,232.936,236.952,,1.0,,232.936,238.969,20.0,2.75,1.25,20.0,1.5165,1.0,373274.8122,165.8246,159.7744,163.8078,-1.0,,1.0,3.0
21.0,240.252,245.786,246.286,1.0,240.252,244.269,,0.0,,240.252,246.286,21.0,1.25,2.25,21.0,1.5165,0.0,373282.129,173.1414,167.0912,171.1246,-1.0,,1.0,3.0
22.0,248.569,254.103,254.603,1.0,248.569,252.586,,1.0,,248.569,254.603,22.0,3.75,2.0,22.0,1.5165,1.0,373290.4458,181.4582,175.408,179.4414,-1.0,,1.0,3.0
23.0,256.636,262.17,262.67,1.0,256.636,260.653,,1.0,,256.636,262.67,23.0,2.75,1.5,23.0,1.5165,1.0,373298.5126,189.525,183.4748,187.5082,-1.0,,1.0,3.0
24.0,264.203,269.737,270.237,1.0,264.203,268.22,,0.0,,264.203,270.237,24.0,3.25,1.75,24.0,1.5165,0.0,373306.0793,197.0917,191.0416,195.075,-1.0,,1.0,3.0
