Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,Noname,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,noname,noname,noname,noname,TrialTypeDesignation
37.0,477.119,477.636,0.0,0.0,0.0,100.0,,,0.0,,,17.0,2.25,2.75,17.0,26.7772,0.0,359379.193,28.153,2.0,,,,,1.0
38.0,479.021,479.538,0.0,0.0,0.0,100.0,,,0.0,,,18.0,3.0,3.25,18.0,28.6792,0.0,359381.3451,30.305,2.0,,,,,1.0
39.0,481.173,481.69,0.0,0.0,0.0,100.0,,,1.0,,,19.0,1.75,3.0,19.0,30.8314,1.0,359383.3722,32.3323,2.0,,,,,1.0
40.0,483.209,483.726,0.0,0.0,0.0,100.0,,,0.0,,,20.0,2.75,1.25,20.0,32.8668,0.0,359384.5327,33.4927,2.0,,,,,1.0
41.0,484.36,484.877,0.0,0.0,0.0,100.0,,,0.0,,,21.0,1.25,2.25,21.0,34.0179,0.0,359386.1835,35.1435,2.0,,,,,1.0
42.0,486.011,486.529,0.0,0.0,0.0,100.0,,,1.0,,,22.0,3.75,2.0,22.0,35.6696,1.0,359387.71,36.67,2.0,,,,,1.0
43.0,487.546,488.063,0.0,0.0,0.0,100.0,,,0.0,,,23.0,2.75,1.5,23.0,37.2043,0.0,359388.9952,37.9552,2.0,,,,,1.0
44.0,488.831,489.348,0.0,0.0,0.0,100.0,,,1.0,,,24.0,3.25,1.75,24.0,38.4889,1.0,359390.4048,39.3647,2.0,,,,,1.0
45.0,490.232,490.749,0.0,0.0,0.0,100.0,,,0.0,,,25.0,2.5,3.0,25.0,39.8904,0.0,359392.4309,41.3909,2.0,,,,,1.0
46.0,492.268,492.785,0.0,0.0,0.0,100.0,,,1.0,,,26.0,3.5,3.75,26.0,41.9257,1.0,359394.8415,43.8015,2.0,,,,,1.0
47.0,494.67,495.187,0.0,0.0,0.0,100.0,,,1.0,,,27.0,2.5,1.25,27.0,44.3282,1.0,359395.994,44.954,2.0,,,,,1.0
48.0,495.822,496.338,0.0,0.0,0.0,100.0,,,1.0,,,28.0,1.25,1.75,28.0,45.4793,1.0,359397.3949,46.3549,2.0,,,,,1.0
49.0,497.223,497.74,0.0,0.0,0.0,100.0,,,0.0,,,29.0,3.5,1.75,29.0,46.8808,0.0,359398.7966,47.7566,2.0,,,,,1.0
50.0,498.624,499.141,0.0,0.0,0.0,100.0,,,0.0,,,30.0,3.25,1.5,30.0,48.282,0.0,359400.0727,49.0326,2.0,,,,,1.0
51.0,499.909,500.426,0.0,0.0,0.0,100.0,,,1.0,,,31.0,3.75,2.0,31.0,49.567,1.0,359401.6081,50.5681,2.0,,,,,1.0
