Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
246.0,617.169,617.185,617.169,1.0,617.169,617.185,,1.0,,617.169,617.185,46.0,1.25,2.75,46.0,36.8149,1.0,181553.7493,37.6159,,,,3.0,2.0
247.0,617.986,618.003,617.986,1.0,617.986,618.003,,1.0,,617.986,618.003,47.0,1.75,2.75,47.0,37.6324,1.0,181554.5669,38.4335,,,,3.0,2.0
248.0,618.804,618.82,618.804,1.0,618.804,618.82,,1.0,,618.804,618.82,48.0,3.0,3.0,48.0,38.4499,0.0,181555.3844,39.251,,,,3.0,2.0
249.0,619.621,619.638,619.621,1.0,619.621,619.638,,1.0,,619.621,619.638,49.0,2.25,1.25,49.0,39.2674,0.0,181556.202,40.0687,,,,3.0,2.0
250.0,620.439,620.455,620.439,1.0,620.439,620.455,,1.0,,620.439,620.455,50.0,1.5,3.5,50.0,40.085,0.0,181557.0196,40.8863,,,,3.0,2.0
251.0,621.256,621.273,621.256,1.0,621.256,621.273,,1.0,,621.256,621.273,51.0,1.25,3.25,51.0,40.9023,1.0,181557.8364,41.7031,,,,3.0,2.0
252.0,622.074,622.09,622.074,1.0,622.074,622.09,,1.0,,622.074,622.09,52.0,2.5,3.75,52.0,41.7199,0.0,181558.6545,42.5213,,,,3.0,2.0
253.0,622.891,622.908,622.891,1.0,622.891,622.908,,1.0,,622.891,622.908,53.0,1.0,2.25,53.0,42.5373,0.0,181559.4719,43.3385,,,,3.0,2.0
254.0,623.709,623.725,623.709,1.0,623.709,623.725,,1.0,,623.709,623.725,54.0,1.25,3.75,54.0,43.3549,0.0,181560.2896,44.1562,,,,3.0,2.0
255.0,624.526,624.543,624.526,1.0,624.526,624.543,,1.0,,624.526,624.543,55.0,1.0,3.25,55.0,44.1723,0.0,181561.107,44.9736,,,,3.0,2.0
256.0,625.344,625.361,625.344,1.0,625.344,625.361,,1.0,,625.344,625.361,56.0,3.25,3.5,56.0,44.9899,0.0,181561.9246,45.7912,,,,3.0,2.0
257.0,626.162,626.178,626.162,1.0,626.162,626.178,,1.0,,626.162,626.178,57.0,1.25,2.0,57.0,45.8076,0.0,181562.7427,46.6092,,,,3.0,2.0
258.0,626.979,626.995,626.979,1.0,626.979,626.995,,1.0,,626.979,626.995,58.0,1.75,3.25,58.0,46.6247,1.0,181563.5596,47.4262,,,,3.0,2.0
259.0,627.796,,627.796,1.0,627.796,758.043,,1.0,,627.796,758.043,59.0,2.25,3.5,59.0,47.4423,0.0,181564.377,48.2435,,,,3.0,2.0
260.0,788.524,794.063,794.565,1.0,788.524,792.545,,0.0,,788.524,794.565,1.0,3.25,1.25,1.0,1.5176,0.0,181731.1438,6.0713,0.00026592,4.0521,-1.0,4.0,2.0
261.0,795.849,801.387,801.889,1.0,795.849,799.869,,0.0,,795.849,801.889,2.0,2.25,3.5,2.0,1.5177,0.0,181738.4673,13.3948,7.3379,11.376,-1.0,4.0,2.0
262.0,805.424,810.947,811.45,1.0,805.424,809.428,809.767,0.0,0.339,805.424,811.45,3.0,3.25,3.75,3.0,1.5177,0.0,181748.0272,22.9548,16.9116,20.9355,181708.496,4.0,2.0
263.0,815.234,820.757,821.258,1.0,815.234,819.238,820.477,1.0,1.239,815.234,821.258,4.0,2.75,1.0,4.0,1.5178,1.0,181757.8365,32.764,26.7211,30.7452,181699.5887,4.0,2.0
264.0,822.293,827.831,828.335,1.0,822.293,826.314,827.318,1.0,1.004,822.293,828.335,5.0,3.5,3.75,5.0,1.5151,1.0,181764.9129,39.8406,33.7817,37.8208,181692.2935,4.0,2.0
265.0,832.118,837.64,838.141,1.0,832.118,836.122,837.251,1.0,1.129,832.118,838.141,6.0,3.0,3.25,6.0,1.5179,1.0,181774.7199,49.6473,43.6055,47.6285,181682.5892,4.0,2.0
266.0,841.427,846.966,847.467,1.0,841.427,845.448,845.936,1.0,0.488,841.427,847.467,7.0,3.0,2.0,7.0,1.5179,1.0,181784.0459,58.9733,52.9144,56.9546,181672.6418,4.0,2.0
