Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,TrialTypeDesignation
53.0,290.101,291.859,0.0,0.0,0.0,100.0,,,,,35.0,0.8,0.8,35.0,55.5634,1.0,256632.2623,56.8145,1.0,1.0
54.0,291.859,293.243,0.0,0.0,0.0,100.0,,,,,36.0,0.8,0.8,36.0,57.3225,0.0,256633.646,58.1981,1.0,1.0
55.0,293.243,295.376,0.0,0.0,0.0,100.0,,,,,37.0,0.8,0.8,37.0,58.706,0.0,256635.7795,60.3316,1.0,1.0
56.0,295.376,297.134,0.0,0.0,0.0,100.0,,,,,38.0,0.8,0.8,38.0,60.8392,1.0,256637.5375,62.0897,1.0,1.0
57.0,297.134,298.143,0.0,0.0,0.0,100.0,,,,,39.0,0.8,0.8,39.0,62.5969,0.0,256638.5453,63.0975,1.0,1.0
58.0,298.143,300.275,0.0,0.0,0.0,100.0,,,,,40.0,0.8,0.8,40.0,63.6056,0.0,256640.679,65.2312,1.0,1.0
59.0,300.275,301.408,0.0,0.0,0.0,100.0,,,,,41.0,0.8,0.8,41.0,65.7382,0.0,256641.8116,66.3638,1.0,1.0
60.0,301.408,303.046,0.0,0.0,0.0,100.0,,,,,42.0,0.8,0.8,42.0,66.8705,1.0,256643.444,67.9961,1.0,1.0
61.0,303.046,304.557,0.0,0.0,0.0,100.0,,,,,43.0,0.8,0.8,43.0,68.5084,1.0,256644.9572,69.5094,1.0,1.0
62.0,304.557,306.69,0.0,0.0,0.0,100.0,,,,,44.0,0.8,0.8,44.0,70.02,0.0,256647.0934,71.6456,1.0,1.0
63.0,306.69,308.448,0.0,0.0,0.0,100.0,,,,,45.0,0.8,0.8,45.0,72.1534,1.0,256648.8519,73.404,1.0,1.0
64.0,308.448,310.331,0.0,0.0,0.0,100.0,,,,,46.0,0.8,0.8,46.0,73.911,0.0,256650.7345,75.2866,1.0,1.0
65.0,310.331,312.214,0.0,0.0,0.0,100.0,,,,,47.0,0.8,0.8,47.0,75.7937,0.0,256652.6172,77.1694,1.0,1.0
66.0,312.214,314.222,0.0,0.0,0.0,100.0,,,,,48.0,0.8,0.8,48.0,77.6772,1.0,256654.6256,79.1778,1.0,1.0
67.0,314.222,315.355,0.0,0.0,0.0,100.0,,,,,49.0,0.8,0.8,49.0,79.6847,1.0,256655.7582,80.3104,1.0,1.0
68.0,315.355,317.613,0.0,0.0,0.0,100.0,,,,,50.0,0.8,0.8,50.0,80.8176,0.0,256658.0161,82.5683,1.0,1.0
69.0,317.613,319.746,0.0,0.0,0.0,100.0,,,,,51.0,0.8,0.8,51.0,83.0758,1.0,256660.1495,84.7016,1.0,1.0
70.0,319.746,322.128,0.0,0.0,0.0,100.0,,,,,52.0,0.8,0.8,52.0,85.2086,1.0,256662.5321,87.0843,1.0,1.0
71.0,322.128,323.763,0.0,0.0,0.0,100.0,,,,,53.0,0.8,0.8,53.0,87.5911,0.0,256664.1645,88.7166,1.0,1.0
72.0,323.763,326.146,0.0,0.0,0.0,100.0,,,,,54.0,0.8,0.8,54.0,89.226,0.0,256666.5495,91.1016,1.0,1.0
73.0,326.146,328.28,0.0,0.0,0.0,100.0,,,,,55.0,0.8,0.8,55.0,91.6094,1.0,256668.683,93.2352,1.0,1.0
74.0,328.28,330.538,0.0,0.0,0.0,100.0,,,,,56.0,0.8,0.8,56.0,93.7431,1.0,256670.9416,95.4938,1.0,1.0
75.0,330.538,332.046,0.0,0.0,0.0,100.0,,,,,57.0,0.8,0.8,57.0,96.0009,0.0,256672.4494,97.0015,1.0,1.0
76.0,332.046,334.181,0.0,0.0,0.0,100.0,,,,,58.0,0.8,0.8,58.0,97.5089,1.0,256674.5824,99.1345,1.0,1.0
77.0,334.181,336.44,0.0,0.0,0.0,100.0,,,,,59.0,0.8,0.8,59.0,99.644,1.0,256676.8424,101.3946,1.0,1.0
78.0,336.44,337.823,0.0,0.0,0.0,100.0,,,,,60.0,0.8,0.8,60.0,101.9027,0.0,256678.2262,102.7783,1.0,1.0
79.0,337.823,338.956,0.0,0.0,0.0,100.0,,,,,61.0,0.8,0.8,61.0,103.2862,1.0,256679.3599,103.9121,1.0,1.0
80.0,338.956,340.716,0.0,0.0,0.0,100.0,,,,,62.0,0.8,0.8,62.0,104.419,1.0,256681.1175,105.6696,1.0,1.0
81.0,340.716,341.85,0.0,0.0,0.0,100.0,,,,,63.0,0.8,0.8,63.0,106.1788,1.0,256682.2522,106.8044,1.0,1.0
82.0,341.85,343.732,0.0,0.0,0.0,100.0,,,,,64.0,0.8,0.8,64.0,107.3129,0.0,256684.1363,108.6885,1.0,1.0
83.0,343.732,345.491,0.0,0.0,0.0,100.0,,,,,65.0,0.8,0.8,65.0,109.1955,0.0,256685.8939,110.4461,1.0,1.0
84.0,345.491,346.5,0.0,0.0,0.0,100.0,,,,,66.0,0.8,0.8,66.0,110.9537,1.0,256686.9023,111.4545,1.0,1.0
85.0,346.5,347.633,0.0,0.0,0.0,100.0,,,,,67.0,0.8,0.8,67.0,111.9629,1.0,256688.0364,112.5885,1.0,1.0
86.0,347.633,348.891,0.0,0.0,0.0,100.0,,,,,68.0,0.8,0.8,68.0,113.0965,1.0,256689.2949,113.8471,1.0,1.0
87.0,348.891,349.899,0.0,0.0,0.0,100.0,,,,,69.0,0.8,0.8,69.0,114.3539,1.0,256690.3023,114.8544,1.0,1.0
88.0,349.899,352.283,0.0,0.0,0.0,100.0,,,,,70.0,0.8,0.8,70.0,115.3619,0.0,256692.6853,117.2374,1.0,1.0
89.0,352.283,353.916,0.0,0.0,0.0,100.0,,,,,71.0,0.8,0.8,71.0,117.7461,1.0,256694.3196,118.8717,1.0,1.0
90.0,353.916,356.175,0.0,0.0,0.0,100.0,,,,,72.0,0.8,0.8,72.0,119.3793,0.0,256696.5778,121.1299,1.0,1.0
91.0,356.175,357.308,0.0,0.0,0.0,100.0,,,,,73.0,0.8,0.8,73.0,121.638,1.0,256697.7115,122.2637,1.0,1.0
92.0,357.308,358.816,0.0,0.0,0.0,100.0,,,,,74.0,0.8,0.8,74.0,122.7708,1.0,256699.2194,123.7716,1.0,1.0
93.0,358.816,360.324,0.0,0.0,0.0,100.0,,,,,75.0,0.8,0.8,75.0,124.2788,1.0,256700.7272,125.2794,1.0,1.0
94.0,360.324,361.457,0.0,0.0,0.0,100.0,,,,,76.0,0.8,0.8,76.0,125.7872,1.0,256701.8606,126.4128,1.0,1.0
95.0,361.457,363.839,0.0,0.0,0.0,100.0,,,,,77.0,0.8,0.8,77.0,126.9202,0.0,256704.2437,128.7958,1.0,1.0
96.0,363.839,364.848,0.0,0.0,0.0,100.0,,,,,78.0,0.8,0.8,78.0,129.3023,0.0,256705.2508,129.8029,1.0,1.0
97.0,364.848,366.356,0.0,0.0,0.0,100.0,,,,,79.0,0.8,0.8,79.0,130.3112,1.0,256706.7597,131.3119,1.0,1.0
98.0,366.356,367.365,0.0,0.0,0.0,100.0,,,,,80.0,0.8,0.8,80.0,131.819,0.0,256707.7675,132.3196,1.0,1.0
99.0,367.365,368.623,0.0,0.0,0.0,100.0,,,,,81.0,0.8,0.8,81.0,132.8275,0.0,256709.026,133.5781,1.0,1.0
100.0,368.623,370.631,0.0,0.0,0.0,100.0,,,,,82.0,0.8,0.8,82.0,134.0859,0.0,256711.0343,135.5865,1.0,1.0
101.0,370.631,372.264,0.0,0.0,0.0,100.0,,,,,83.0,0.8,0.8,83.0,136.0943,1.0,256712.6677,137.2199,1.0,1.0
102.0,372.264,373.648,0.0,0.0,0.0,100.0,,,,,84.0,0.8,0.8,84.0,137.7273,1.0,256714.0507,138.6029,1.0,1.0
103.0,373.648,374.909,0.0,0.0,0.0,100.0,,,,,85.0,0.8,0.8,85.0,139.1107,0.0,256715.3091,139.8613,1.0,1.0
104.0,374.909,376.167,0.0,0.0,0.0,100.0,,,,,86.0,0.8,0.8,86.0,140.3721,1.0,256716.5705,141.1227,1.0,1.0
105.0,376.167,378.049,0.0,0.0,0.0,100.0,,,,,87.0,0.8,0.8,87.0,141.63,0.0,256718.4534,143.0056,1.0,1.0
106.0,378.049,379.062,0.0,0.0,0.0,100.0,,,,,88.0,0.8,0.8,88.0,143.5122,0.0,256719.4606,144.0127,1.0,1.0
107.0,379.062,381.196,0.0,0.0,0.0,100.0,,,,,89.0,0.8,0.8,89.0,144.525,1.0,256721.5985,146.1506,1.0,1.0
108.0,381.196,382.829,0.0,0.0,0.0,100.0,,,,,90.0,0.8,0.8,90.0,146.6585,1.0,256723.232,147.7842,1.0,1.0
